날짜,시가,고가,저가,거래량,등락률,RSI,EMA_20,EMA_60,기관합계,기타법인,개인,외국인합계,전체,종가
2015-01-02,615000,620000,610000,23066,-0.8025682182985553,,,,23675000,113071000,1769696000,-1906442000,0,618000
2015-01-05,615000,622000,609000,27781,-1.2944983818770228,,,,-1900348000,-126908000,3436165000,-1408909000,0,610000
2015-01-06,610000,618000,596000,34268,-0.6557377049180327,,,,2408214000,103488000,1539724000,-4051426000,0,606000
2015-01-07,605000,610000,597000,29868,-0.9900990099009901,,,,-2805781000,-212834000,1146892000,1871723000,0,600000
2015-01-08,597000,620000,596000,50053,2.166666666666667,,,,292391000,-163644000,-3269775000,3141028000,0,613000
2015-01-09,609000,617000,605000,65776,-0.9787928221859705,,,,-12300573000,346680000,-1180174000,13134067000,0,607000
2015-01-12,606000,614000,606000,20716,0.9884678747940692,,,,1765579000,182367000,-1770446000,-177500000,0,613000
2015-01-13,619000,625000,608000,41740,1.3050570962479608,,,,3366493000,86836000,-5198498000,1745169000,0,621000
2015-01-14,621000,626000,608000,24650,-0.966183574879227,,,,666926000,-156010000,144817000,-655733000,0,615000
2015-01-15,611000,620000,605000,37310,0.6504065040650406,,,,-615761000,75749000,878219000,-338207000,0,619000
2015-01-16,613000,620000,611000,17802,-0.9693053311793215,,,,846860000,71356000,-630498000,-287718000,0,613000
2015-01-19,614000,621000,612000,14953,0.0,,,,-2387088000,0,-108371000,2495459000,0,613000
2015-01-20,612000,620000,611000,22437,0.3262642740619902,,,,3488922000,33383000,-418148000,-3104157000,0,615000
2015-01-21,613000,618000,597000,42676,-2.6016260162601625,35.832170230529826,,,-2996639000,22359000,8396289000,-5422009000,0,599000
2015-01-22,594000,607000,594000,47628,1.001669449081803,42.42973551394074,,,-4022354000,247087000,-258833000,4034100000,0,605000
2015-01-23,605000,615000,597000,43189,-0.3305785123966942,40.91944830761236,,,2575020000,-175796000,2472029000,-4871253000,0,603000
2015-01-26,599000,609000,596000,35213,-0.8291873963515755,37.34096159817539,,,1368571000,-172528000,4934260000,-6130303000,0,598000
2015-01-27,603000,630000,598000,83963,4.682274247491638,58.97673980690895,,,15167031000,193874000,-8570671000,-6790234000,0,626000
2015-01-28,650000,682000,643000,177951,7.987220447284344,75.34699195652078,,,25607825000,4095000,-18044126000,-7567794000,0,676000
2015-01-29,670000,689000,667000,65952,0.4437869822485207,75.96668248065181,623622.9153322832,,-1686071000,78665000,-4624605000,6232011000,0,679000
2015-01-30,685000,706000,681000,57852,1.3254786450662739,77.77183725294555,629754.0662530181,,-3978348000,-295583000,-5577450000,9851381000,0,688000
2015-02-02,680000,699000,672000,38431,-0.14534883720930233,77.0790826330139,635206.059943207,,-6540294000,-512233000,2237742000,4814785000,0,687000
2015-02-03,687000,696000,687000,35779,0.8733624454148471,78.32652789267668,640710.2447105206,,3987907000,19452000,-2106673000,-1900686000,0,693000
2015-02-04,696000,696000,680000,34604,-1.875901875901876,69.50069979562684,644452.1261666615,,454625000,57637000,947499000,-1459761000,0,680000
2015-02-05,677000,691000,677000,52798,1.0294117647058822,71.37132672573286,648504.3046269795,,4409643000,-627536000,969887000,-4751994000,0,687000
2015-02-06,687000,700000,685000,29396,1.8922852983988356,74.49940503305443,653408.6565672671,,3930681000,114596000,-3602563000,-442714000,0,700000
2015-02-09,704000,704000,689000,29744,-1.5714285714285716,67.75347284334524,656798.3083227655,,3644873000,97918000,4433578000,-8176369000,0,689000
2015-02-10,690000,695000,681000,27598,0.0,67.75347284334524,659865.1361015497,,-3924833000,776287000,1536843000,1611703000,0,689000
2015-02-11,685000,696000,678000,40550,-1.3062409288824384,62.39253252892181,661782.7421871164,,-1945466000,21059000,3854846000,-1930439000,0,680000
2015-02-12,681000,687000,673000,24255,0.4411764705882353,63.43121632231088,663803.4334073911,,-3059855000,-365920000,-1075192000,4500967000,0,683000
2015-02-13,680000,699000,679000,45303,2.342606149341142,68.43798374045167,667155.4873685918,,-11885476000,-675108000,-3671514000,16232098000,0,699000
2015-02-16,694000,699000,680000,29487,-2.432045779685265,59.1685823635865,668569.250476345,,-5033480000,101267000,375505000,4556708000,0,682000
2015-02-17,680000,685000,671000,38285,0.0,59.1685823635865,669848.3694785978,,-1304063000,-296557000,1255819000,344801000,0,682000
2015-02-23,678000,690000,665000,44241,0.0,59.1685823635865,671005.6676234932,,-1597766000,14949000,4421312000,-2838495000,0,682000
2015-02-24,676000,700000,676000,35517,2.6392961876832843,65.37113396382239,673767.0326117319,,58592000,85426000,-5872460000,5728442000,0,700000
2015-02-25,703000,704000,692000,30121,-0.8571428571428572,61.990748420710005,675693.981886805,,-1763945000,1215134000,1537834000,-989023000,0,694000
2015-02-26,699000,699000,674000,42622,-2.3054755043227666,53.97528595697854,675913.6026594902,,-10797149000,-1527510000,6808982000,5515677000,0,678000
2015-02-27,675000,681000,670000,32268,-1.1799410029498525,50.46194439440264,675350.4024062054,,-4810081000,7484000,5204394000,-401797000,0,670000
2015-03-02,669000,671000,647000,56664,-3.134328358208955,42.61955620235042,672840.8402722811,,-12769992000,-51822000,10507270000,2314544000,0,649000
2015-03-03,650000,664000,646000,39302,0.6163328197226503,44.392294829597375,670951.2364368258,,-7564577000,19098000,2188168000,5357311000,0,653000
2015-03-04,648000,654000,640000,24877,-1.2251148545176112,41.62264323695421,668479.6901095092,,-6822535000,-411438000,2248875000,4985098000,0,645000
2015-03-05,643000,667000,643000,25133,0.6201550387596899,43.52007574842502,666624.4815276511,,-5342869000,989354000,-1101204000,5454719000,0,649000
2015-03-06,652000,671000,650000,25246,3.0816640986132513,51.932614849266166,666850.7213821604,,-3055846000,532757000,-3197082000,5720171000,0,669000
2015-03-09,666000,677000,651000,29123,-2.092675635276532,46.69009079215374,665722.0812505261,,-658407000,449043000,396718000,-187354000,0,655000
2015-03-10,657000,671000,651000,34788,-0.3053435114503817,45.97605725550612,664510.4544647618,,-10298431000,229420000,-665569000,10734580000,0,653000
2015-03-11,645000,662000,645000,39058,0.3062787136294028,46.85138466819359,663604.6968966892,,-10010912000,-35358000,1678270000,8368000000,0,655000
2015-03-12,651000,681000,651000,78728,3.969465648854962,56.67831042266109,665261.3924303378,,-7618145000,106734000,-5096513000,12607924000,0,681000
2015-03-13,685000,685000,670000,24797,-0.881057268722467,54.18834019215847,666188.8788655438,,-2978682000,-527344000,831788000,2674238000,0,675000
2015-03-16,675000,720000,667000,104538,6.518518518518518,65.98852553397832,671218.5094497777,,7842009000,-185719000,-15354849000,7698559000,0,719000
2015-03-17,726000,759000,725000,64913,5.4242002781641165,72.70067134827156,679483.4133117036,,-7139835000,-2252080000,-4358898000,13750813000,0,758000
2015-03-18,762000,764000,734000,53602,-2.7704485488126647,65.23519909178286,684961.1834724938,,8116596000,285181000,-25240000,-8376537000,0,737000
2015-03-19,737000,756000,736000,78516,2.03527815468114,67.7802565426959,691345.8326655895,,11996761000,-365372000,-667289000,-10964100000,0,752000
2015-03-20,742000,760000,742000,42576,0.6648936170212766,68.60530145339641,697598.6105069619,,6645317000,160150000,-1491356000,-5314111000,0,757000
2015-03-23,749000,754000,742000,33919,-1.0568031704095113,65.70618008332956,702493.9809348703,,5265131000,-136891000,149569000,-5277809000,0,749000
2015-03-24,745000,760000,744000,47479,1.4686248331108143,67.72572097474912,707970.744655359,,7590335000,985000,-1497865000,-6093455000,0,760000
2015-03-25,765000,811000,763000,102059,5.263157894736842,73.77387570114892,716735.4356405629,,11265455000,-32648000,1199432000,-12432239000,0,800000
2015-03-26,800000,817000,766000,52409,-2.375,67.32043193074179,722855.8703414617,,-8128386000,420472000,4812075000,2895839000,0,781000
2015-03-27,788000,797000,769000,34578,0.8962868117797695,68.4165994793989,729060.0731660845,,-503261000,-275384000,2947198000,-2168553000,0,788000
2015-03-30,784000,812000,782000,25371,1.3959390862944163,70.11312526531823,735721.0185788383,,738881000,360640000,1188088000,-2287609000,0,799000
2015-03-31,808000,845000,800000,47899,5.256570713391739,75.52008128685223,745747.5882379966,692089.4987172048,333646000,243336000,3028123000,-3605105000,0,841000
2015-04-01,828000,867000,821000,64446,-0.11890606420927466,75.17137464539249,754724.0084058064,696939.0233494275,16519658000,259845000,7303244000,-24082747000,0,840000
2015-04-02,847000,864000,801000,81034,-4.642857142857143,62.96124281877232,759131.2457004915,700350.8586494463,-6409405000,308139000,12303805000,-6202539000,0,801000
2015-04-03,803000,810000,782000,36150,-1.373283395755306,60.00092351520482,762071.1270623495,703290.1747593005,-5000290000,-221922000,4616263000,605949000,0,790000
2015-04-06,793000,802000,784000,23689,0.5063291139240507,60.724098535229814,765111.9721040304,706264.2673901431,-3964792000,285326000,1485009000,2194457000,0,794000
2015-04-07,794000,798000,772000,51078,-2.770780856423174,54.85029040357557,765767.9747607894,708419.5373117777,-2387293000,635080000,13692759000,-11940546000,0,772000
2015-04-08,772000,800000,772000,33878,3.6269430051813467,60.13553030328282,769028.1676407143,711422.175432703,-914893000,13278000,-3600980000,4502595000,0,800000
2015-04-09,810000,813000,782000,43100,-0.375,59.33410682802494,771692.151674932,714228.0057463848,-3371338000,-47012000,6411871000,-2993521000,0,797000
2015-04-10,793000,855000,777000,83076,4.893350062735257,65.72840975445607,777816.7086582717,718220.5301481427,15906420000,109009000,-11934485000,-4080944000,0,836000
2015-04-13,836000,859000,827000,48468,0.3588516746411483,66.1690843101888,783643.6887860553,722180.5127662363,-2067755000,888217000,5591331000,-4411793000,0,839000
2015-04-14,844000,850000,785000,102880,-5.125148986889154,55.210861497022194,784820.4803302404,724600.823823081,-18550773000,-2623493000,22590737000,-1416471000,0,796000
2015-04-15,790000,835000,790000,79648,3.2663316582914574,59.570703600300114,788361.3869654557,727794.2394354389,1584077500,1611511000,-4338902000,1143313500,0,822000
2015-04-16,825000,854000,825000,73120,0.9732360097323601,60.83400939940117,792326.9691592219,731145.2479785392,7467523000,685017000,636247000,-8788787000,0,830000
2015-04-17,840000,899000,837000,131042,6.024096385542169,67.63992457941212,800676.7816202483,736025.7316513739,10175899000,963359000,10477572000,-21616830000,0,880000
2015-04-20,868000,919000,868000,144525,1.5909090909090908,69.25112428120508,809564.7071802247,741205.2158595255,18765965000,1564305000,16291328000,-36621598000,0,894000
2015-04-21,906000,951000,902000,120509,4.3624161073825505,73.24717307337295,821320.4493535366,747493.5694379017,5789101000,789996000,3057601000,-9636698000,0,933000
2015-04-22,920000,923000,873000,155774,-4.180064308681672,64.25448241669585,828242.3113198665,752297.0589645278,-27771917000,1023592000,37148797000,-10400472000,0,894000
2015-04-23,898000,920000,886000,79380,1.901565995525727,66.20232819437163,836123.9959560697,757500.4340804449,-6288914000,-378838000,-9993630000,16661382000,0,911000
2015-04-24,913000,926000,881000,67720,-1.5367727771679474,63.15040958262902,841921.7106269202,762074.1903401023,-18440822000,-283741000,7778706000,10945857000,0,897000
2015-04-27,897000,913000,888000,52353,-1.0033444816053512,61.197280419862935,846310.1191386421,766202.9054109186,-5937616000,96144000,8999260000,-3157788000,0,888000
2015-04-28,885000,897000,870000,63433,-1.9144144144144142,57.57501752506285,848661.5363635333,769638.8757253147,-250805000,130424000,11680927000,-11560546000,0,871000
2015-04-29,880000,887000,819000,144055,-2.755453501722158,52.82159560955385,848503.2948051016,772175.3060294028,-9262415000,-550721000,26255702000,-16442566000,0,847000
2015-04-30,831000,838000,788000,182972,-6.965761511216057,43.34706979010641,842741.0762522348,772694.1484546682,-26958721000,470548000,45756959000,-19268786000,0,788000
2015-05-04,785000,823000,784000,81434,4.441624365482234,49.171506393206755,840860.973752022,774343.5206364824,2616998000,475770000,-10335971000,7243203000,0,823000
2015-05-06,810000,829000,801000,60726,0.7290400972053462,50.11826868702922,839731.3572042104,776135.536353319,-2217996000,386344000,-607754000,2439406000,0,829000
2015-05-07,822000,827000,794000,60302,-1.4475271411338964,48.18513677793432,837566.4660419046,777475.354833538,-1306059000,-474386000,4045694000,-2265249000,0,817000
2015-05-08,807000,827000,799000,69780,-1.4687882496940026,46.26342651878681,834464.8978474375,778377.8022160449,-7863394000,258475000,7120681000,484238000,0,805000
2015-05-11,819000,840000,819000,95630,3.7267080745341614,51.47387511976908,834515.8599572054,780234.2677171582,9934829000,517442000,-3052778000,-7399493000,0,835000
2015-05-12,838000,846000,825000,64998,-0.47904191616766467,50.767052378202976,834181.0161517572,781898.7179559399,16280520000,150846000,6339349000,-22770715000,0,831000
2015-05-13,825000,852000,825000,54398,2.166064981949458,53.838882274917445,835592.347946828,784098.7599901713,2602200000,-133468000,-3018240000,549508000,0,849000
2015-05-14,862000,874000,840000,42767,-1.0600706713780919,52.088870570836555,836012.1243328444,785931.5875314771,-32551000,1107351000,4185463000,-5260263000,0,840000
2015-05-15,853000,869000,844000,68448,2.380952380952381,55.546829486983576,838296.6839201925,788360.0600714287,9970872000,2000231000,-15888050000,3916947000,0,860000
2015-05-18,874000,893000,862000,94761,3.372093023255814,60.04938965080539,843125.5711658885,791659.7302330212,25428705000,275741000,-6893841000,-18810605000,0,889000
2015-05-19,896000,898000,869000,69072,-0.7874015748031495,58.50888390511163,846827.8977215182,794621.706290955,-5347787000,-387696000,2828444000,2907039000,0,882000
2015-05-20,883000,891000,877000,34618,1.0204081632653061,59.9321304205699,851034.7646051832,797781.6503469892,1316176000,418877000,-8521191000,6786138000,0,891000
2015-05-21,891000,902000,881000,46015,-0.7856341189674524,58.258256626869716,854174.310833261,800608.4814831534,-6015555000,57074000,-339829000,6298310000,0,884000
2015-05-22,885000,892000,848000,60044,-3.0542986425339365,52.202046553092416,854443.424087236,802457.3837296073,-16855147000,945891000,9036059000,6873197000,0,857000
2015-05-26,856000,875000,847000,53360,-0.3500583430571762,51.560682991236604,854401.193221785,804147.3055745382,-242519000,-647436000,-3344505000,4234460000,0,854000
2015-05-27,847000,854000,808000,126344,-4.098360655737705,44.66584892790727,851029.6510101864,804634.2791622581,7527854000,6025474000,23211888000,-36765216000,0,819000
2015-05-28,812000,841000,810000,67017,1.465201465201465,47.26939802192187,849122.0651996925,805498.7290257907,8098682000,58000000,-10317620000,2160938000,0,831000
2015-05-29,825000,846000,808000,90765,-2.7677496991576414,43.08502720276013,845205.678037817,805580.7379101911,-8318117000,1217145000,18855235000,-11754263000,0,808000
2015-06-01,809000,811000,761000,82521,0.3712871287128713,43.784044292496155,841947.9944151678,805758.4186344472,-18263571000,269841000,-34205000,18027935000,0,811000
2015-06-02,794000,798000,756000,124935,-6.288532675709001,35.746424265887626,834143.4235184853,804258.1426136456,-14639657000,-1275191000,21021600000,-5106752000,0,760000
2015-06-03,756000,775000,730000,130329,1.9736842105263157,39.27719246453356,828510.7165167248,803298.8592492638,-27218701000,504297000,-927758000,27642162000,0,775000
2015-06-04,776000,806000,768000,76135,3.225806451612903,44.72856747179961,825795.4101817986,803190.6999296157,-4894902000,-104244000,-4779543000,9778689000,0,800000
2015-06-05,790000,792000,765000,63321,-4.125,39.666409215853726,820195.8473073416,802004.1196040546,-17489920000,182414000,10744602000,6562904000,0,767000
2015-06-08,764000,780000,751000,95132,1.564537157757497,42.22692920524839,816272.433278071,801249.8861744134,-5560152700,-278500000,-715193000,6553845700,0,779000
2015-06-09,779000,791000,776000,46340,1.540436456996149,44.751981556365735,813865.5348706357,800913.8243326293,-4635361000,355098000,-5906781000,10187044000,0,791000
2015-06-10,792000,795000,750000,118446,-5.183312262958281,38.55213842291902,807783.1029781941,799244.5186168054,-56371993360,-73185000,26398687000,30046491360,0,750000
2015-06-11,751000,754000,726000,111812,-3.2,35.4556730122562,799994.23602789,796843.058990025,-30070600000,-431489000,25834721000,4667368000,0,726000
2015-06-12,722000,742000,718000,71470,-0.6887052341597797,34.82806205669884,792470.9754538052,794356.4013182208,-17019864000,-64599000,5896101000,11188362000,0,721000
2015-06-15,714000,714000,671000,172123,-4.2995839112343965,31.14681625954472,782711.8349343952,790934.879963525,-23499905000,402747000,5846576000,17250582000,0,690000
2015-06-16,698000,738000,697000,116914,6.521739130434782,40.91045411092349,778167.850654929,789100.9494729176,5960632000,-80098000,-20043442000,14162908000,0,735000
2015-06-17,750000,751000,723000,85869,0.13605442176870747,41.11030180150466,774151.864878269,787359.9347361006,1013753000,207733000,1120668000,-2342154000,0,736000
2015-06-18,751000,777000,741000,94305,4.483695652173913,47.4290744292734,773661.2110803387,786757.9696627858,2040625000,1431823000,-17408177000,13935729000,0,769000
2015-06-19,777000,777000,748000,63380,-1.1703511053315996,45.98004875691561,772360.1433584017,785880.6591820387,-12098874000,-870475000,5296129000,7673220000,0,760000
2015-06-22,766000,774000,735000,48478,-1.3157894736842104,44.35842635543041,770230.6058956969,784704.24412689,-8172807000,124101000,6055517000,1993189000,0,750000
2015-06-23,751000,754000,738000,54151,-0.26666666666666666,44.024012234782816,768113.405334202,783500.826286664,-13022831000,-210598000,1431558000,11801871000,0,748000
2015-06-24,749000,751000,739000,40707,0.0,44.024012234782816,766197.8429214209,782336.8647690684,-6099949000,46962000,75176000,5977811000,0,748000
2015-06-25,748000,750000,731000,64538,-1.3368983957219251,42.18003813988766,763512.3340717618,780883.1970717219,-27341079154,-144517000,6168789000,21316807154,0,738000
2015-06-26,731000,748000,723000,115344,0.40650406504065045,42.95202755700342,761368.3022554035,779575.5512660916,-32729975000,228957000,13014794000,19486224000,0,741000
2015-06-29,738000,765000,730000,94050,2.42914979757085,47.48278840392554,761142.7496596508,778900.9430278591,-10803994000,71739000,-14563589000,25295844000,0,759000
2015-06-30,759000,780000,759000,82885,1.9762845849802373,50.9768876954865,762367.2496920651,778740.256371208,-3617900000,-477911000,-16163358000,20259169000,0,774000
2015-07-01,778000,796000,774000,63673,2.842377260981912,55.6386919270986,765570.3687690112,779306.1496049388,1773978000,48779000,-15669292000,13846535000,0,796000
2015-07-02,799000,807000,777000,68668,-1.6331658291457287,52.46387372881377,767230.333648153,779427.2594539572,-3063342000,-525132000,3013462000,575012000,0,783000
2015-07-03,780000,783000,763000,40468,-0.7662835249042145,51.01693903773459,768160.7780626146,779347.6771767783,-10027022000,-301474000,1234333000,9094163000,0,777000
2015-07-06,760000,767000,737000,50665,-5.148005148005148,42.58481859908765,765193.0849137942,777959.2287447528,-9042943000,-560308000,9049351000,553900000,0,737000
2015-07-07,738000,745000,680000,120312,-3.6635006784260513,38.01718916232466,759936.6006362899,775731.0573104986,-38225065000,577306000,15277453000,22370306000,0,710000
2015-07-08,724000,726000,695000,78216,-0.42253521126760557,37.53544133782435,754895.01962331,773477.5800216297,-10817293000,614988000,417940000,9784365000,0,707000
2015-07-09,700000,707000,681000,84569,-0.4243281471004243,37.030106312552874,750047.8748972805,771199.6265782975,-8105631000,-1719652000,2650574000,7174709000,0,704000
2015-07-10,715000,727000,704000,62405,0.8522727272727272,38.804587580274806,746233.79157373,769193.0814445827,-1894240000,-33132000,5162138000,-3234766000,0,710000
2015-07-13,685000,736000,685000,46207,2.535211267605634,43.9110668868778,744497.2399952795,767842.488610334,-4085306000,-127056000,1035906000,3176456000,0,728000
2015-07-14,734000,749000,727000,49510,2.8846153846153846,49.23351324172519,744926.0742814434,767224.7020985198,3136508000,-1677682000,-8826604000,7367778000,0,749000
2015-07-15,750000,752000,731000,39636,-2.403204272363151,45.26830298089464,743599.7814927344,766037.0069477486,-2247767000,-32214000,2443665000,-163684000,0,731000
2015-07-16,731000,738000,716000,44137,-0.27359781121751026,44.83621073829683,742209.3261124741,764822.6788511011,-8230114000,-3649873000,-742586000,12622573000,0,729000
2015-07-17,735000,749000,722000,54634,0.0,44.83621073829683,740951.2950541433,763648.1647904093,-6193291000,-191006000,-333179000,6717476000,0,729000
2015-07-20,720000,740000,720000,25785,1.2345679012345678,47.45382267866043,740670.2193347011,762807.241354658,-568207000,41138000,-2985314000,3512383000,0,738000
2015-07-21,750000,750000,728000,41664,-0.13550135501355012,47.18590238459289,740320.6746361582,761961.1022938496,-5611804000,-548870000,1022117000,5138557000,0,737000
2015-07-22,737000,740000,709000,61687,-3.1207598371777476,41.39677113538465,737813.9437184288,760388.6071366741,-12208192000,137670000,10393199000,1677323000,0,714000
2015-07-23,720000,752000,714000,66912,5.322128851540616,51.897297137759416,739164.9966976261,760113.570837111,1091684000,-556232000,-19874745000,19339293000,0,752000
2015-07-24,752000,758000,737000,46890,-0.39893617021276595,51.11856074900988,740101.6636788046,759749.1914654024,9779352000,74465000,491855000,-10345672000,0,749000
2015-07-27,846000,858000,826000,278513,14.152202937249667,68.8845946337432,751044.3623760613,762872.1687944055,92807447000,-1144573000,-61296772000,-30366102000,0,855000
2015-07-28,847000,860000,834000,105497,0.0,68.8845946337432,760944.8992926269,765892.7534240972,26055745000,349537000,-15285312000,-11119970000,0,855000
2015-07-29,862000,862000,840000,70174,-1.0526315789473684,66.5044506881124,769045.3850742814,768519.2205249465,15845926000,-15658000,-5806563000,-10023705000,0,846000
2015-07-30,846000,856000,839000,63684,0.7092198581560284,67.31526154314655,776945.8245910165,771256.2952618335,10598410000,-939909000,-13341873000,3683372000,0,852000
2015-07-31,858000,860000,840000,63548,0.5868544600938966,68.0102016704089,784570.0317728245,774067.5642696421,7548747000,-403066000,-10765574000,3619893000,0,857000
2015-08-03,853000,869000,850000,46997,0.4667444574095682,68.58564842566122,791849.0763658888,776917.8080640801,15850551000,352423000,-10035930000,-6167044000,0,861000
2015-08-04,870000,870000,851000,43682,-0.34843205574912894,67.60342945483495,798149.1643310422,779576.2405865693,15747226000,-212236000,-4381556000,-11153434000,0,858000
2015-08-05,858000,888000,857000,47771,1.048951048951049,69.03606951487669,804706.3867757048,782442.5933542227,16898836000,-386962000,-4429773000,-12082101000,0,867000
2015-08-06,872000,880000,843000,61063,-0.5767012687427913,67.25662160783068,810162.9213684949,785051.0329163794,6546301000,-85747000,-953060000,-5507494000,0,862000
2015-08-07,869000,899000,861000,68409,3.0162412993039442,71.38675735484597,817575.9764762572,788426.4088863342,23691489000,-312369000,-19715299000,-3663821000,0,888000
2015-08-10,890000,896000,870000,47454,-1.2387387387387387,67.50709205645774,823235.4072880421,791330.4610539953,15237305000,-893000,2184160000,-17420572000,0,877000
2015-08-11,880000,883000,811000,104259,-5.473204104903079,53.7736510742605,823784.4161177524,792565.527904684,16825997000,-9417000,12285029000,-29101609000,0,829000
2015-08-12,811000,827000,753000,117908,-3.2569360675512664,47.873872240303804,821709.7098208236,792874.8548586287,346396000,-468030000,5222598000,-5100964000,0,802000
2015-08-13,790000,833000,789000,81264,2.6184538653366585,52.26099496918735,821832.5945997929,793862.5645353949,12127431000,-669811000,-10399949000,-1057671000,0,823000
2015-08-17,831000,846000,812000,63704,1.9441069258809234,55.34476557614023,823467.5855902887,795342.4804522671,1754005000,105779000,-4166945000,2307161000,0,839000
2015-08-18,841000,841000,791000,45618,-4.410011918951132,47.67524739207293,821423.0536293089,795560.7597817009,-4170126000,342258000,295670000,3532198000,0,802000
2015-08-19,791000,801000,764000,69244,-0.997506234413965,46.1849765545228,818811.3342360414,795509.5873298419,-3247937000,158861000,-1000073000,4089149000,0,794000
2015-08-20,778000,788000,771000,42873,-1.7632241813602016,43.615549301758016,815115.0166897518,795001.0762698471,8135745000,169858000,-298470000,-8007133000,0,780000
2015-08-21,763000,780000,740000,51735,-1.282051282051282,41.82562491607499,810818.348433585,794181.3688511635,11785457000,653585000,-6567642000,-5871400000,0,770000
2015-08-24,763000,780000,748000,47527,-1.0389610389610389,40.39732116794564,806168.9819161007,793126.2420035844,9480860000,154963000,-2821591000,-6814232000,0,762000
2015-08-25,762000,764000,734000,70680,-0.7874015748031495,39.31299432792636,801390.9836383768,791908.9881674013,-5812290000,519324000,5520488000,-227522000,0,756000
2015-08-26,760000,794000,746000,88812,4.232804232804233,47.41921007566233,800115.6518632934,791780.8246209291,5832709000,-168181000,-5324350000,-340178000,0,788000
2015-08-27,795000,842000,795000,75006,6.091370558375635,56.751168039936445,803533.208828694,793230.633649751,5362646000,-460346000,-11474938000,6572638000,0,836000
2015-08-28,840000,841000,812000,48366,-2.272727272727273,52.759594256497984,804815.7603688183,794009.9571366444,2905174000,21383000,5230048000,-8156605000,0,817000
2015-08-31,822000,824000,797000,37875,-1.8359853121175032,49.782656422902285,804547.5927146452,794271.925755115,749175000,170164000,1406454000,-2325793000,0,802000
2015-09-01,795000,811000,766000,58705,-3.99002493765586,44.06980592304081,801257.3457894409,793476.124910685,-11320071000,200631000,14501940000,-3382500000,0,770000
2015-09-02,758000,790000,758000,37086,1.6883116883116882,46.74358064519455,799518.5509523513,793132.6454054166,-96095000,-203813000,-1811755000,2111663000,0,783000
2015-09-03,784000,790000,760000,40192,-0.38314176245210724,46.1947558191374,797659.6413378417,792702.0668675341,-4858211000,58945000,1734969000,3064297000,0,780000
2015-09-04,770000,781000,741000,43049,-1.9230769230769231,43.44790365792832,794549.1993056664,791793.8023800739,-5687300000,14954000,5364172000,308174000,0,765000
2015-09-07,763000,763000,740000,46854,-2.091503267973856,40.669922104541506,790211.1803241743,790390.7268922026,308707000,293263000,7387020000,-7988990000,0,749000
2015-09-08,747000,757000,721000,39820,-2.1361815754339117,38.04993511497952,784762.4964837767,788509.0637154091,-1121400000,159653000,3890924000,-2929177000,0,733000
2015-09-09,742000,800000,742000,87491,5.5934515688949515,47.40083123659764,783737.496818655,788033.3567083465,3174918000,-517928000,-4467766000,1810776000,0,774000
2015-09-10,766000,807000,758000,60393,3.7467700258397936,52.82487686054242,785572.020931164,788524.0663244663,10666647000,-954684000,-12189758000,2477795000,0,803000
2015-09-11,791000,807000,786000,30328,-0.9962640099626401,51.254678080595916,786469.9236996246,788736.392018746,576434000,103098000,-642485000,-37047000,0,795000
2015-09-14,798000,801000,780000,27031,0.25157232704402516,51.64167904530203,787472.7881091841,789007.3299853444,1524365000,176726000,-783740000,-917351000,0,797000
2015-09-15,800000,818000,793000,47487,0.8782936010037641,53.046747596232294,789046.8082892618,789498.8929366446,-159044000,-37635000,-4199372000,4396051000,0,804000
2015-09-16,813000,826000,807000,35650,2.736318407960199,57.25076029582467,792566.1598807606,790695.6505452791,-1363206000,153105000,-11656144000,12866245000,0,826000
