날짜,시가,고가,저가,거래량,등락률,RSI,EMA_20,EMA_60,기관합계,기타법인,개인,외국인합계,전체,종가
2015-01-02,142801,146807,142601,64225,2.6682655222226894,,,,-2812850000.0,1041195000.0,-4591930000.0,6363585000.0,0.0,146407
2015-01-05,145405,150212,144403,112572,2.462313960398068,,,,22384115000.0,-76101000.0,-19971485000.0,-2336529000.0,0.0,150012
2015-01-06,148410,151014,147208,92315,-0.80060261845719,,,,36038264000.0,-1121299000.0,-10334975000.0,-24581990000.0,0.0,148811
2015-01-07,150010,150010,146206,51987,-1.4810733077527871,,,,-1383715000.0,669877000.0,4902590000.0,-4188752000.0,0.0,146607
2015-01-08,146007,149211,146007,56392,1.639757992456022,,,,-22594000.0,310261000.0,-4166848000.0,3879181000.0,0.0,149011
2015-01-09,152014,152014,148609,73987,1.0750884162914147,,,,-1663786000.0,-1508152000.0,-18047547000.0,21219485000.0,0.0,150613
2015-01-12,149411,152215,149411,36733,-0.26558132432127374,,,,7075691000.0,-359025000.0,-9453101000.0,2736435000.0,0.0,150213
2015-01-13,150613,151214,147809,48928,-1.333439848748111,,,,1747785000.0,253431000.0,-517382000.0,-1483834000.0,0.0,148210
2015-01-14,147207,149210,146606,63850,-0.13561837932663112,,,,7549733000.0,9389000.0,1361466000.0,-8920588000.0,0.0,148009
2015-01-15,149811,155820,148409,187236,5.14225486287996,,,,39944355000.0,1247455000.0,-43563435000.0,2371625000.0,0.0,155620
2015-01-16,156020,156220,151614,116659,0.0,,,,33633056000.0,299834000.0,-10584793000.0,-23348097000.0,0.0,155620
2015-01-19,156221,157022,154819,91305,-0.12851818532322323,,,,20478447000.0,1921394000.0,-6100690000.0,-16299151000.0,0.0,155420
2015-01-20,156221,159626,156221,101343,1.8041436108608933,,,,22933059000.0,1701235000.0,-16648046000.0,-7986248000.0,0.0,158224
2015-01-21,156621,158022,153817,71564,-1.2659267873394682,68.64667799845436,,,16263921000.0,-53266000.0,2039453000.0,-18250108000.0,0.0,156221
2015-01-22,156822,158024,152616,83439,-1.9229168933754104,57.82230692056429,,,-8067343000.0,-405187000.0,9522855000.0,-1050325000.0,0.0,153217
2015-01-23,155219,156220,152214,99297,1.9606179470946437,63.94488961614135,,,-6106372000.0,-680779000.0,1325023000.0,5462128000.0,0.0,156221
2015-01-26,155220,156021,153818,69003,-1.1534940885028262,58.46251308947955,,,10175201000.0,285038000.0,2772301000.0,-13232540000.0,0.0,154419
2015-01-27,155019,155220,152416,84489,-0.9079193622546448,54.54428106827714,,,236772000.0,-81456000.0,7592068000.0,-7747384000.0,0.0,153017
2015-01-28,152214,156220,152214,123220,1.7011181764117713,59.915795821147064,,,15431038000.0,2272779000.0,1722210000.0,-19426027000.0,0.0,155620
2015-01-29,152215,152616,146407,278475,-5.27631409844493,42.753187008433905,151989.24736000458,,13242587000.0,22682000.0,45385855000.0,-58651124000.0,0.0,147409
2015-01-30,145205,146207,142401,300061,-2.717608829854351,37.16047110294113,151171.50951619464,,-25161747000.0,1843596000.0,74006939000.0,-50688788000.0,0.0,143403
