날짜,시가,고가,저가,거래량,등락률,RSI,EMA_20,EMA_60,기관합계,기타법인,개인,외국인합계,전체,종가
2015-01-02,278000,285000,277500,156209,2.9038112522686026,,,,-6208817000,80263500,-8708903500,14837457000,0,283500
2015-01-05,278000,282000,273000,134514,-1.5873015873015872,,,,2908840500,1642018500,4971841000,-9522700000,0,279000
2015-01-06,275500,280500,274500,148079,-1.4336917562724014,,,,1693191000,710038500,4929147000,-7332376500,0,275000
2015-01-07,279500,281000,277000,148694,1.6363636363636365,,,,-297787000,25101000,-5160106000,5432792000,0,279500
2015-01-08,280000,286000,279500,118777,2.3255813953488373,,,,-3231992000,291218500,-6362655500,9303429000,0,286000
2015-01-09,289000,292000,288000,127436,1.5734265734265735,,,,4996979500,-70139500,-13986225000,9059385000,0,290500
2015-01-12,288000,293000,288000,89260,0.0,,,,-1797799000,59328500,-5210898500,6949369000,0,290500
2015-01-13,287500,287500,282000,122960,-2.753872633390706,,,,-6024347500,93620500,9235164500,-3304437500,0,282500
2015-01-14,283000,284000,281000,174441,-0.17699115044247787,,,,-12772112500,14258500,4210501000,8547353000,0,282000
2015-01-15,281000,281000,271500,293704,-2.6595744680851063,,,,-16671352500,3355768000,26248144500,-12932560000,0,274500
2015-01-16,272500,273500,265500,287816,-1.092896174863388,,,,-26280286000,1400591500,16208398000,8671296500,0,271500
2015-01-19,272000,273000,268500,128316,0.3683241252302026,,,,-2995573500,72482000,2221327500,701764000,0,272500
2015-01-20,272500,275500,270500,106182,0.5504587155963303,,,,-3111965000,-101270000,-414846000,3628081000,0,274000
2015-01-21,274000,275000,269500,132336,-0.36496350364963503,36.132051048709116,,,-11401125500,-2983881500,4664946000,9720061000,0,273000
2015-01-22,277000,281500,276000,162379,1.8315018315018317,46.34329999578237,,,-1660186500,-1648512000,-9553606500,12862305000,0,278000
2015-01-23,281000,282500,273000,203098,-0.8992805755395683,42.66986895431755,,,-1358281000,-668987500,9565385500,-7538117000,0,275500
2015-01-26,273000,273500,266500,166782,-2.540834845735027,34.438502917517994,,,-14402265000,549562000,18891194500,-5038491500,0,268500
2015-01-27,270500,270500,263000,259977,-0.931098696461825,32.059810906326746,,,-5649246500,339244500,20795196000,-15485194000,0,266000
2015-01-28,265500,272500,264500,174626,2.2556390977443606,42.35132363190834,,,-6740319000,-984072000,-6571823000,14296214000,0,272000
2015-01-29,273500,274500,269500,157006,0.5514705882352942,44.61027242031538,276086.22122869594,,-4535553000,-55310000,-4280223500,8871086500,0,273500
2015-01-30,265500,267000,252000,932021,-7.678244972577697,28.042922719845635,273839.9144450106,,-46035663000,5752531000,131437814000,-91154682000,0,252500
2015-02-02,255500,256000,252000,305048,0.7920792079207921,30.683214729378363,271998.01783120004,,-12989788000,3643529500,10820913500,-1474655000,0,254500
2015-02-03,255500,256000,252000,219846,-0.19646365422396855,30.383067213902706,270283.9208948953,,-6616107500,1308758000,14812790500,-9505441000,0,254000
2015-02-04,257500,261000,256000,269265,2.3622047244094486,38.19603702896765,269304.49985728617,,3650673500,607322000,-2353022000,-1904973500,0,260000
2015-02-05,261000,262000,259000,161888,0.7692307692307693,40.58950627534098,268608.8332042113,,131987500,713084000,-3689801000,2844729500,0,262000
2015-02-06,265500,266500,262000,220457,0.7633587786259541,42.96806731230739,268169.89670857217,,-688143000,-145423000,-6666333500,7499899500,0,264000
2015-02-09,262000,263500,259000,130375,-1.3257575757575757,39.95347601827259,267439.4303553748,,3982291000,-386865500,-3274128000,-321297500,0,260500
2015-02-10,262500,266000,261500,208042,1.727447216890595,45.270105382361564,267207.10365486296,,14908433500,-268738500,-23396079500,8756384500,0,265000
2015-02-11,264500,265000,261000,118588,-0.5660377358490566,43.87555389044799,266854.04616392363,,1666817000,-33979500,720486000,-2353323500,0,263500
2015-02-12,261000,263000,258000,164741,-0.7590132827324478,42.01701495240899,266344.13700545474,,-1921501000,1156874500,5346988000,-4582361500,0,261500
2015-02-13,265000,265500,261500,106827,1.147227533460803,45.730493081203434,266168.50490969716,,-3634533500,218726000,-8182697500,11598505000,0,264500
2015-02-16,268500,269500,267000,109927,1.1342155009451798,49.232000377132195,266295.3139659165,,-205610500,-494765500,-10790305000,11490681000,0,267500
2015-02-17,267500,268000,265500,103589,0.1869158878504673,49.813195732547214,266457.6650167816,,-5991925500,16463000,-3193305500,9168768000,0,268000
2015-02-23,269500,271500,267500,157939,1.3059701492537312,53.800269315097026,266937.8873961357,,-3484440000,-635098500,-16624549500,20744088000,0,271500
2015-02-24,271500,273000,269500,118576,0.1841620626151013,54.35811607402189,267419.9933584085,,-2171212500,-545826500,-6375277500,9092316500,0,272000
2015-02-25,275000,277000,273500,192352,1.8382352941176472,59.61020212969922,268332.374943322,,-2711666000,-499855000,-20636102500,23847623500,0,277000
2015-02-26,278000,278000,274000,133519,-0.5415162454873645,57.473510094807736,269015.0059011008,,-4829186000,-915861000,-481960500,6227007500,0,275500
2015-02-27,274500,275000,266500,260315,-2.9038112522686026,47.6612289288851,268870.7196248055,,-11626340500,289536000,16743100000,-5406295500,0,267500
2015-03-02,269000,272500,268000,195790,0.5607476635514018,49.40541283347998,268883.03204149066,,-4570495500,-203404500,-94232500,4868132500,0,269000
