날짜,시가,고가,저가,거래량,등락률,RSI,EMA_20,EMA_60,기관합계,기타법인,개인,외국인합계,전체,종가
2015-01-02,20500,22150,20450,2768920,7.920792079207921,,,,3596164050,567655550,-4445377700,281558100,0,21800
2015-01-05,21750,22300,21200,1455563,0.45871559633027525,,,,-1424015900,-476326550,785153950,1115188500,0,21900
2015-01-06,21600,22300,21350,1260795,1.36986301369863,,,,-1090649400,59579500,2315104450,-1284034550,0,22200
2015-01-07,21800,21950,20650,1594051,-6.981981981981981,,,,-2363974500,-32812350,7543703500,-5146916650,0,20650
2015-01-08,20300,21350,20200,1319679,0.0,,,,-1959587850,-284557150,-542941400,2787086400,0,20650
2015-01-09,21000,21750,20800,1071812,0.9685230024213075,,,,-1691499050,95147950,1611399500,-15048400,0,20850
2015-01-12,20850,21300,20750,499783,0.0,,,,-1106548900,-63699750,957256150,212992500,0,20850
2015-01-13,20850,21550,19900,1266032,-4.07673860911271,,,,-4216031450,-73887650,5431779950,-1141860850,0,20000
2015-01-14,20200,20450,19500,827225,-1.7500000000000002,,,,-1565380650,105300,326241900,1239033450,0,19650
2015-01-15,19650,20050,19550,493042,1.5267175572519083,,,,-135819800,-48485000,-405246300,589551100,0,19950
2015-01-16,19950,20500,19100,951093,-4.260651629072681,,,,-2178744700,24276000,3645976050,-1491507350,0,19100
2015-01-19,19300,19650,19100,521313,0.2617801047120419,,,,-258410300,10715800,-388395000,636089500,0,19150
2015-01-20,19400,19550,19050,373581,0.26109660574412535,,,,400458700,9615000,-326291900,-83781800,0,19200
2015-01-21,19400,20350,19350,1235887,5.208333333333334,41.99517028056939,,,1553520750,-39861400,-2981954350,1468295000,0,20200
2015-01-22,20550,21050,20100,1192721,1.2376237623762376,45.83028415509248,,,2136549350,52186700,-1880525750,-308210300,0,20450
2015-01-23,20950,21250,20500,976430,3.1784841075794623,54.29209733648857,,,3702928800,44070400,-3223139050,-523860150,0,21100
2015-01-26,21250,21250,20550,563847,-2.132701421800948,48.628625908755424,,,-643293450,176865550,1626985850,-1160557950,0,20650
2015-01-27,20700,21050,20450,468057,-0.24213075060532688,48.02912077669871,,,185517550,-21239900,541754800,-706032450,0,20600
2015-01-28,20700,21050,20650,532804,0.9708737864077669,50.64991823292633,,,96038150,62900000,-397810900,238872750,0,20800
2015-01-29,21000,21050,20300,526358,-1.9230769230769231,45.687581383338994,20589.605957380536,,-121825150,-384026450,755465200,-249613600,0,20400
2015-01-30,20650,20650,19400,1056644,-4.411764705882353,36.92233949490993,20485.833961439534,,-2087998700,-154477550,5645800750,-3403324500,0,19500
2015-02-02,19600,19800,19150,735790,-0.7692307692307693,35.693245191159946,20377.65929844529,,-359902400,9558250,4745655100,-4395310950,0,19350
2015-02-03,19400,19550,19150,597184,-0.516795865633075,34.86010495446786,20270.263174783835,,288639900,-136047000,1721760750,-1874353650,0,19250
2015-02-04,19450,19650,18000,3170956,-5.714285714285714,27.308935528280855,20068.333348613945,,-2201022850,63892750,18407196700,-16270066600,0,18150
2015-02-05,18000,18050,15800,5486557,-10.192837465564738,19.61386718775475,19709.44445826976,,1843557550,-120072100,15480129000,-17203614450,0,16300
2015-02-06,16600,17200,16550,2855842,4.601226993865031,28.419790382936284,19456.16403367264,,9644659450,35313650,-4041226950,-5638746150,0,17050
2015-02-09,16700,16750,16000,1634690,-4.9853372434017595,25.06814337709936,19146.053173322864,,870296200,-9455600,2533005050,-3393845650,0,16200
2015-02-10,15950,18400,15900,4848393,6.481481481481481,35.22986435039354,18965.47668062545,,2093187950,28047300,-7886264650,5765029400,0,17250
2015-02-11,17350,17700,16950,1582504,0.8695652173913043,36.55357950437658,18816.383663423025,,259399450,310330100,1896923550,-2466653100,0,17400
