날짜,시가,고가,저가,거래량,등락률,RSI,기관합계,기타법인,개인,외국인합계,전체,종가
2015-01-02,29484,29825,29334,277644,0.7703057363918334,,-11829800,59720200,996171450,-1044061850,0,29565
2015-01-05,29451,29601,29186,223746,-0.5107390495518349,,63705900,437539300,306301600,-807546800,0,29414
2015-01-06,29072,29222,28619,359104,-1.7984633167879243,,-13041550,96172350,155733600,-238864400,0,28885
2015-01-07,28771,28960,28621,225059,-0.9105071836593388,,20360450,-47673000,139338600,-112026050,0,28622
2015-01-08,28806,29298,28617,298154,0.5275662078121724,,79364800,1770700,-67058850,-14076650,0,28773
2015-01-09,29185,29374,28770,358249,0.785458589650019,,-938166350,107814200,568248400,262103750,0,28999
2015-01-12,29106,29371,28993,290079,0.2586296079175144,,342269800,133641800,-893228650,417317050,0,29074
2015-01-13,29220,30921,29070,1622755,3.11962578248607,,1743622100,-50558600,-5259599950,3566536450,0,29981
2015-01-14,30353,30806,30164,747115,1.3842099996664554,,575528300,191753100,-2544975000,1777693600,0,30396
2015-01-15,30694,31185,30505,765998,2.237136465324385,,1652382950,-124571200,-6448045000,4920233250,0,31076
2015-01-16,31301,31413,30508,470917,-1.7022782854936285,,820164850,77036400,-572118850,-325082400,0,30547
2015-01-19,31259,31600,30730,549453,0.618718695780273,,-2015150,205885150,533686000,-737556000,0,30736
2015-01-20,30733,30959,30130,452840,-0.6149141072358146,,-270826300,351561200,-1665390750,1584655850,0,30547
2015-01-21,30659,30848,29941,464436,-1.2341637476675287,56.066541207306216,-1380200750,288933400,574271250,516996100,0,30170
2015-01-22,30016,30280,29564,385233,-1.7533974146503146,47.550776211379734,-651231100,196975000,770896800,-316640700,0,29641
2015-01-23,29979,30510,29830,485084,2.9317499409601564,58.65910176840849,695896350,-62592500,-3356533850,2723230000,0,30510
2015-01-26,30545,30923,30092,404604,-0.9931170108161259,54.33775829178611,12380300,151461150,1393917100,-1557758550,0,30207
2015-01-27,30277,30467,29598,439527,-1.248055086569338,49.45590281904766,-538213750,-702711650,2733773850,-1492848450,0,29830
2015-01-28,29597,29937,29523,296700,0.2514247401944351,50.410408090651124,-580623850,50920500,-319007150,848710500,0,29905
2015-01-29,29863,30618,29826,445515,1.264002675137937,55.02077101615725,-391349950,171849900,-1574550600,1794050650,0,30283
2015-01-30,30768,31900,30240,1626779,1.4958887824852227,59.83952254066687,1376397650,-51507150,205895850,-1530786350,0,30736
2015-02-02,30884,31376,30470,525252,1.9651223321186881,65.1938180025715,1084963050,94081800,-3841843400,2662798550,0,31340
2015-02-03,31376,32471,31073,1361739,3.3726866624122525,72.18313039747247,239159350,232672550,-5329076300,4857244400,0,32397
2015-02-04,32396,32848,31981,850422,-1.1636879958020805,67.01425232006702,386668150,192780100,-3167358650,2587910400,0,32020
2015-02-05,32281,32358,31716,518422,0.0,67.01425232006702,311646450,193338500,-1170849500,665864550,0,32020
2015-02-06,36248,36473,34284,6445468,11.08369768894441,81.48738158964322,26985687550,-848765700,-21189201800,-4947720050,0,35569
2015-02-09,35526,38736,35186,5374361,4.672608170035705,84.84164955980438,24277589900,-339903950,-21112158300,-2825527650,0,37231
2015-02-10,37756,39040,35830,3692512,-1.012597029357256,81.24560712232557,11449231150,-550922800,-9391711200,-1506597150,0,36854
2015-02-11,37569,38210,37228,2212986,1.6361860313670158,82.521681528057,7250240250,-748561200,-579744850,-5921934200,0,37457
2015-02-12,37719,38360,36284,2347068,1.8154150092105616,83.85571886326345,3386692200,154754850,-406812600,-3134634450,0,38137
2015-02-13,38511,43797,38511,8328772,14.851718803261923,90.41682237142834,70142893400,-2360120900,-78951479800,11168707300,0,43801
2015-02-16,45608,50365,44777,9057411,14.99965754206525,93.64373388727678,9405608500,-1984375600,-38578644000,31157411100,0,50371
2015-02-17,52484,53919,47877,12624557,-2.8488614480554286,86.77109079734822,1475885600,-2862221300,10342959500,-8956623800,0,48936
2015-02-23,50823,56185,49917,10191418,13.581003760013077,90.31592741813955,8572903900,-765028700,-13066314500,5258439300,0,55582
2015-02-24,55052,57167,53239,7553024,-2.1733654780324567,85.81475710128666,218435000,-685087400,14986415500,-14519763100,0,54374
2015-02-25,55278,55505,50521,6855201,-5.833670504285136,75.21455985709315,-14945932700,1601582800,16061331300,-2716981400,0,51202
2015-02-26,50217,51501,48330,8859804,-1.4765048240303114,72.9031778467834,7478896400,-817188200,15127326200,-21789034400,0,50446
2015-02-27,50822,52180,49462,4453673,-1.9426713713674029,69.90427424967326,-11155489700,-390788800,23120011900,-11573733400,0,49466
2015-03-02,48706,49916,46971,3718973,-4.888206040512675,63.01640959054372,-3624300000,728148500,378102400,2518049100,0,47048
2015-03-03,48404,50895,47874,5562468,3.694099642917871,65.6372857112865,-2318513300,-229960600,9869734200,-7321260300,0,48786
2015-03-04,48707,52257,48331,5677168,1.8570901488131841,66.95204172459401,2835787300,610207800,13199792600,-16645787700,0,49692
2015-03-05,50218,50823,48029,3235461,-2.1271029541978588,63.88116754554915,-8554459000,550360900,20533383900,-12529285800,0,48635
2015-03-06,49085,52483,48331,5504722,7.918165929885884,69.38984066209508,5520578600,-74164200,-11183396200,5736981800,0,52486
2015-03-09,53614,54292,50593,4293788,-2.7340624166444383,65.38787299814308,-11164921200,16399400,33888814000,-22740292200,0,51051
2015-03-10,50741,51348,48931,2738622,-3.5513506101741394,60.630172744655376,-7982971000,270136300,4441070000,3271764700,0,49238
2015-03-11,49992,51125,48936,2442686,-0.4589950850968764,60.04368021029278,-4066567300,-230165000,6883975600,-2587243300,0,49012
2015-03-12,49010,50067,47424,2721233,1.3874153268587284,61.258021156468665,9289386600,332044000,-3652882600,-5968548000,0,49692
2015-03-13,50442,51650,49762,2473107,1.3664171295178298,62.48409364327571,1674776200,166801400,-119947600,-1721630000,0,50371
2015-03-16,51272,52103,50442,2344726,2.249310118917631,64.50280049772536,3968282900,-347653000,-1518543600,-2102086300,0,51504
2015-03-17,52410,52560,50974,1931640,-0.5863622242932588,63.521637378503925,-3612250700,-71703700,2586491800,1097462600,0,51202
2015-03-18,51276,52409,48331,3248224,-4.425608374672865,56.56858350349823,-12537841500,851523300,9323827700,2362490500,0,48936
2015-03-19,49389,51351,47802,2674398,4.939104136014386,61.41949396235024,-316723800,89285800,-6187645000,6415083000,0,51353
2015-03-20,51125,52711,49538,2946975,-1.4702159562245634,59.19535519649509,5632382200,-279260800,-588422000,-4764699400,0,50598
2015-03-23,50899,51503,49841,1235951,-0.8952923040436381,57.841929702545436,-6062975200,-20638200,8563038900,-2479425500,0,50145
2015-03-24,50216,51047,49612,1002044,-0.30112673247582017,57.37105755082413,-903905200,284115800,-409458200,1029247600,0,49994
2015-03-25,50595,57470,50294,7750277,14.95379445533464,70.2736887208809,35205145300,-193057200,-30373475900,-4638612200,0,57470
2015-03-26,56636,57692,52255,8664657,-7.751870541151905,58.843898469872926,-31686660400,712590400,44056697500,-13082627500,0,53015
2015-03-27,52707,54444,52103,3432987,0.0,58.843898469872926,3504983400,-1357190900,7225548900,-9373341400,0,53015
2015-03-30,53844,53996,51731,1989967,-2.421956050174479,55.80971394681241,-4516934500,291143000,6383867900,-2158076400,0,51731
2015-03-31,52182,54372,51653,2915763,2.043262260540102,57.741458524268104,2164247400,240863200,-268028400,-2137082200,0,52788
2015-04-01,52410,53239,51730,1444433,-0.7160718345078426,56.78545066696175,-4100652100,2140403200,2083669700,-123420800,0,52410
2015-04-02,52787,55202,52182,3267398,2.3049036443426827,59.115130019926085,9113069000,2069337400,252312600,-11434719000,0,53618
2015-04-03,53085,54217,52631,1487143,1.1283524189637808,60.270322429701416,5243324400,687938300,-3287536100,-2643726600,0,54223
2015-04-06,54066,55048,53386,1481148,0.0,60.270322429701416,6870340300,289091900,-5522915100,-1636517100,0,54223
2015-04-07,55506,59961,55354,6918268,5.154639175257731,65.49406023073118,-751155500,1827019700,-8102910500,7027046300,0,57018
2015-04-08,55881,57390,54444,3298139,-1.0610684345294468,63.54638985760521,-8499519200,3923613900,-3617278400,8193183700,0,56413
2015-04-09,56562,57015,55506,1540319,-1.606012798468438,60.63823453587036,2242457400,314747000,6624240800,-9181445200,0,55507
2015-04-10,59960,61093,57016,4196351,2.857297277820815,63.764465469912736,244896900,1902089100,10257540500,-12404526500,0,57093
2015-04-13,58901,65622,58221,10066167,14.947541730159564,75.18515260679072,11421943700,-2753350300,-74384482200,65715888800,0,65627
2015-04-14,66455,73554,64793,13184828,5.637923415667332,78.368461228263,-44697220700,-3552903900,-5502527300,53752651900,0,69327
2015-04-15,69324,71061,67740,4158718,0.5452421134622875,78.6695140112972,831400500,18760200,25853316600,-26703477300,0,69705
2015-04-16,69703,70610,65323,5348527,-5.309518685890539,68.60236921445392,-52579398300,-117791900,71074120600,-18376930400,0,66004
2015-04-17,68189,69095,63130,8141089,0.11362947700139386,68.68980967113572,-15690899200,928940900,82294299200,-67532340900,0,66079
2015-04-20,65621,66604,63960,3220176,-2.9706866024001575,63.6902451323328,-26438686400,1584319400,38709879300,-13855512300,0,64116
2015-04-21,64491,67058,64189,3092325,0.942042547881964,64.54534041061885,-6022492900,-48184200,9744372800,-3673695700,0,64720
2015-04-22,65093,67358,61015,4682229,-0.9332509270704574,62.94885946126856,-7019481500,-332932000,5046587200,2305826300,0,64116
2015-04-23,64036,64641,60789,3236734,-4.828747894441325,55.386589676754596,-18311339200,-85584400,37313731400,-18916807800,0,61020
2015-04-24,60868,62756,59432,3325453,0.989839396919043,56.48489973178819,-6782388500,1947026000,15185109300,-10349746800,0,61624
2015-04-27,61694,63205,61468,1397054,0.3667402310788005,56.91233336941429,446100700,-463473200,1235531300,-1218158800,0,61850
2015-04-28,61770,67661,60790,5483166,5.618431689571544,62.9401904230268,8532220700,-1908032300,10722388600,-17346577000,0,65325
2015-04-29,65399,66003,63511,1818166,-1.38691159586682,60.56135907116833,196116400,-241417100,3227458500,-3182157800,0,64419
2015-04-30,64114,66454,62377,2608502,0.467253450069079,61.087554544104144,564095500,383013800,7140411200,-8087520500,0,64720
2015-05-04,63961,66000,63811,1033113,-0.6983930778739185,59.797334993430105,710174600,-219962400,29369400,-519581600,0,64268
2015-05-06,64265,65397,63888,1050053,-0.5897180556419991,58.6782236564337,-2123366200,269296300,3680611400,-1826541500,0,63889
2015-05-07,63662,64038,61622,1464470,-2.2445178356211555,54.520586277985174,-4484565800,84111600,5661550400,-1261096200,0,62455
2015-05-08,64338,64866,63053,1687388,0.9654951565126891,55.93449459742491,-3098315200,-356998900,5452248100,-1996934000,0,63058
2015-05-11,62752,63205,61845,1282125,-1.7951726981509086,52.62678746092004,-9344353200,-87924200,7262234600,2170042800,0,61926
2015-05-12,61770,62753,60789,1092613,-1.8296030746374707,49.47333228861004,-4920734300,113379600,1209382100,3597972600,0,60793
2015-05-13,60791,63510,58449,3115611,1.6153175530077477,52.149612146137514,-8656203200,266158800,9573344700,-1183300300,0,61775
2015-05-14,61395,63963,60564,2113104,0.0,52.149612146137514,8276279700,-448693800,-1163360900,-6664225000,0,61775
2015-05-15,63132,64340,62603,2153741,1.7110481586402266,55.11732878109604,3816457900,-347700,2907755200,-6723865400,0,62832
2015-05-18,63435,63586,61472,1503337,-1.9225872167048637,51.20842468717999,-12597615600,99244800,18582401400,-6084030600,0,61624
2015-05-19,61695,62903,60562,1791451,-0.8568090354407374,49.554183426192935,-3980267000,-3678625600,10138635800,-2479743200,0,61096
2015-05-20,61015,61769,58748,2765097,-1.237396883593034,47.20293255167307,-650378700,511605900,3660088800,-3521316000,0,60340
2015-05-21,61846,62903,59580,3034219,-1.2512429565793837,44.911103543437044,177110800,-94329800,24026887700,-24109668700,0,59585
2015-05-22,59432,60339,58299,1675287,-1.7739363933875973,41.84774381431801,-7233063600,813819800,11972399900,-5553156100,0,58528
2015-05-26,57846,58150,53691,3665918,-7.613449972662657,31.9528915229524,-5655160100,-496201200,2760849800,3390511500,0,54072
2015-05-27,54596,55351,52029,3070930,-1.396286432904276,30.631323616176303,330613600,90373100,8476739200,-8897725900,0,53317
2015-05-28,53542,55657,52711,2607810,1.2753905883676875,33.30683788879023,8802646600,125657600,-3848687600,-5079616600,0,53997
2015-05-29,53994,54749,52106,1903236,-3.4983425005092874,29.8612767160584,-2241326700,266353200,17510533300,-15535559800,0,52108
2015-06-01,52406,54369,52102,1740001,2.464112996085054,34.798702165212916,-2422744700,344554700,-1052056000,3130246000,0,53392
2015-06-02,54594,54594,52179,1291693,-1.5564129457596645,33.17118933279825,-3666792900,415349800,4606848300,-1355405200,0,52561
2015-06-03,52181,52786,49312,2178550,-6.177584140332185,27.716545238851268,-12292193600,942371500,10452390900,897431200,0,49314
2015-06-04,49389,51351,49312,1448616,4.134728474672507,34.95039762734042,4765925900,48222900,-10642434000,5828285200,0,51353
2015-06-05,51198,56936,50970,4192760,6.322902264716765,44.4791603518025,12910853900,-893257400,-6890771300,-5126825200,0,54600
2015-06-08,56710,60184,55880,4479658,9.95970695970696,56.08224786506644,5846036000,-1461061700,-19224068400,14839094100,0,60038
2015-06-09,60410,61769,58371,2543285,-2.0137246410606617,53.409793943404864,-2460036100,445225900,15674827400,-13660017200,0,58829
2015-06-10,58677,58827,55883,2401015,-3.593465807679886,49.01185385639778,-6923476200,1441881600,4985499400,496095200,0,56715
2015-06-11,58146,58901,56106,1942149,-1.064973992770872,47.80075443579832,2631565400,11613400,2178589300,-4821768100,0,56111
2015-06-12,56106,57466,55351,1399606,0.0,47.80075443579832,-3503289000,54297400,-2226668900,5675660500,0,56111
2015-06-15,55807,57619,55580,1007273,1.076437775124307,49.25501153111411,126004700,159818100,-6987703500,6701880700,0,56715
2015-06-16,56786,57088,54217,1198414,-3.06268183020365,45.34271263815658,-1645795100,336815900,-282563700,1591542900,0,54978
2015-06-17,55053,62756,54523,4452528,8.65437083924479,55.71834835295505,16763336900,-669603600,-20224564800,4130831500,0,59736
2015-06-18,61169,63359,60036,3065513,1.2638944689969198,57.109687638528804,1785455300,-507615100,-1070808900,-207031300,0,60491
2015-06-19,61169,61623,59282,1405265,0.0,57.109687638528804,1782915600,1607495900,-7073027800,3682616300,0,60491
2015-06-22,63283,66757,63207,4437177,5.86698847762477,63.38205664054345,2179680800,-1437514400,-23954005300,23211838900,0,64040
2015-06-23,65322,65550,62150,2412316,-2.3579013116802,59.40165782942306,-2149600900,30671500,9171700500,-7052771100,0,62530
