날짜,시가,고가,저가,거래량,등락률,RSI,EMA_20,EMA_60,기관합계,기타법인,개인,외국인합계,전체,종가
2015-11-06,37854,39384,35254,3144621,,,,,39243831700.0,3407618400.0,-40909397100.0,-1742053000.0,0.0,36785
2015-11-09,37243,37587,33993,459700,-6.442843550360202,,,,865362750.0,-43561350.0,928713600.0,-1750515000.0,0.0,34415
2015-11-10,33649,35790,32693,341823,-5.0007264274299,,,,614366300.0,-23331200.0,819388950.0,-1410424050.0,0.0,32694
2015-11-11,33112,34986,32883,361458,4.563528476172999,,,,2808838550.0,19743250.0,-2012323100.0,-816258700.0,0.0,34186
2015-11-12,34873,35485,34146,207592,2.2348329725618674,,,,2110890250.0,-218753350.0,-1962014800.0,69877900.0,0.0,34950
2015-11-13,34335,34757,33342,102459,-3.6108726752503575,,,,-240131250.0,15968500.0,51800700.0,172362050.0,0.0,33688
2015-11-16,32348,33189,31277,212769,-4.425908335312277,,,,-25290750.0,4996000.0,-159674200.0,179968950.0,0.0,32197
2015-11-17,32653,32653,29862,253180,-0.23915271609156133,,,,-289875400.0,-54923700.0,-659653200.0,1004452300.0,0.0,32120
2015-11-18,32119,32463,31393,67190,-2.26027397260274,,,,323662150.0,-4413500.0,-483009600.0,163760950.0,0.0,31394
2015-11-19,31393,31889,30398,175547,-1.8283748486972033,,,,-1311798650.0,-97044800.0,601280100.0,807563350.0,0.0,30820
2015-11-20,30819,30895,30361,75286,-1.1161583387410774,,,,-175783100.0,0.0,-24158500.0,199941600.0,0.0,30476
2015-11-23,30398,30398,28487,342268,-5.017062606641291,,,,842762600.0,-87590650.0,1117216450.0,-1872388400.0,0.0,28947
2015-11-24,28945,29862,28294,225885,2.5080319204062596,,,,1211914250.0,98460250.0,-304809750.0,-1005564750.0,0.0,29673
2015-11-25,29251,29710,28792,124802,-0.7717453577326189,22.503510042874055,,,432881750.0,7343500.0,-374861250.0,-65364000.0,0.0,29444
2015-11-26,29556,30168,29059,113945,2.0751256622741474,28.46328463295731,,,224868550.0,-18143250.0,-104011200.0,-102714100.0,0.0,30055
2015-11-27,30359,31353,30092,158397,3.6899018466145397,37.811578468657494,,,868892600.0,-2454000.0,-863307300.0,-3131300.0,0.0,31164
2015-11-30,30743,31508,30589,102273,0.49095109742010007,38.99599985527834,,,1194760400.0,0.0,-1203410850.0,8650450.0,0.0,31317
2015-12-01,31315,31315,30550,88796,-1.9542101733882555,36.03923400630336,,,-368163600.0,-4060000.0,238182300.0,134041300.0,0.0,30705
2015-12-02,30626,30703,29403,184808,0.0,36.03923400630337,,,-359375350.0,0.0,-478072650.0,837448000.0,0.0,30705
2015-12-03,30552,30552,29940,35114,-2.3644357596482655,32.634888913638235,31804.89697985121,,59268100.0,-160525250.0,230319250.0,-129062100.0,0.0,29979
2015-12-04,29823,30092,29288,21209,-0.7672037092631508,31.61596815615981,31609.09726748443,,-27909350.0,0.0,8272400.0,19636950.0,0.0,29749
2015-12-07,28295,29099,27951,436199,-4.238797942787993,26.694908387801846,31311.84990867639,,1649316250.0,-417071300.0,106177200.0,-1338422150.0,0.0,28488
2015-12-08,28946,29290,28716,134398,1.6112047177759055,30.91038980343474,31086.62610785007,,225910750.0,-16320500.0,-299772450.0,90182200.0,0.0,28947
2015-12-09,28523,29364,28486,48948,0.52855218157322,32.30777221937326,30897.42362138816,,164034650.0,-76353900.0,-113076200.0,25395450.0,0.0,29100
2015-12-10,28907,29328,28716,55875,-0.13058419243986255,32.13393479097259,30722.621371732144,,547182550.0,4864000.0,-282332150.0,-269714400.0,0.0,29062
2015-12-11,28754,30589,28754,281819,4.865460050925607,44.171593013651545,30699.13362204337,,2646650800.0,-16240100.0,-2234989550.0,-395421150.0,0.0,30476
2015-12-14,29824,31852,29824,231752,1.755479721748261,47.9345400344892,30728.835181848764,,1852136450.0,-158886400.0,-1976854200.0,283604150.0,0.0,31011
2015-12-15,31009,31353,29710,75622,-3.2053142433330106,42.23820404417527,30661.041355006026,,-96202900.0,-5944600.0,69054300.0,33093200.0,0.0,30017
2015-12-16,30551,30551,28905,96833,0.0,42.23820404417527,30599.70408310069,,15410450.0,1133000.0,-518304500.0,501761050.0,0.0,30017
2015-12-17,30971,31353,30283,173061,4.077689309391345,50.61876980692239,30660.779884710148,,788411600.0,-158998850.0,-240152250.0,-389260500.0,0.0,31241
2015-12-18,31354,32043,31239,192569,2.570340257994302,55.21003313722408,30792.51513378537,,1892582600.0,0.0,-513450800.0,-1379131800.0,0.0,32044
2015-12-21,31621,32730,31621,84938,2.1470478092622645,58.74889387182721,30977.227978186762,,1123458950.0,-45799100.0,-834585150.0,-243074700.0,0.0,32732
2015-12-22,32883,32883,31659,78516,-3.0367835757057318,52.3174045734269,31049.68245645469,,327716450.0,-167184300.0,-373215850.0,212683700.0,0.0,31738
2015-12-23,32195,32195,30666,90529,-2.410359821034722,47.96530519699805,31042.37936536377,,-98894300.0,45546300.0,-175488150.0,228836150.0,0.0,30973
2015-12-24,30588,30932,29976,126135,-2.098602008200691,44.5725196987363,30973.867044852937,,-879245700.0,-179798350.0,592409500.0,466634550.0,0.0,30323
2015-12-28,30703,30971,29059,110621,0.8838175642251755,46.26035514683552,30937.403516771705,,-61595300.0,-88844550.0,290664650.0,-140224800.0,0.0,30591
2015-12-29,30435,30435,29595,52751,-2.5007355104442484,42.300645958530716,30831.555562793445,,-441152400.0,-19922450.0,352074450.0,109000400.0,0.0,29826
2015-12-30,30015,30743,29443,58932,2.8196875209548713,47.60978116197477,30815.883604432165,,442516400.0,0.0,-405076100.0,-37440300.0,0.0,30667
2016-01-04,30015,31278,29557,71071,1.9956304822773667,51.13352217429942,30859.989927819577,,642832100.0,67127350.0,-844331300.0,134371850.0,0.0,31279
2016-01-05,30703,31315,30626,25591,-1.5889254771571981,48.292818263221626,30852.562315646283,,-74291950.0,0.0,78104500.0,-3812550.0,0.0,30782
2016-01-06,30779,30779,29938,53671,-2.4852186342667792,44.22056931512568,30772.984952251398,,-197466700.0,0.0,121847500.0,75619200.0,0.0,30017
2016-01-07,30437,30437,28678,98157,-4.457474098011128,38.15968599705125,30573.55781394174,,-1656981150.0,151713850.0,1360539600.0,144727700.0,0.0,28679
2016-01-08,28255,29823,28103,47239,1.8689633529760452,41.61213707351508,30444.171355471102,,101044950.0,0.0,-145547900.0,44502950.0,0.0,29215
2016-01-11,29059,29633,28677,30191,0.26014033886702037,42.10568040368078,30334.3455120929,,9335650.0,0.0,50435150.0,-59770800.0,0.0,29291
2016-01-12,28791,29251,27530,116803,-2.2191116725273976,39.06432301130616,30173.074510941195,,-896606800.0,-160996650.0,1098779200.0,-41175750.0,0.0,28641
2016-01-13,28754,28869,28066,110052,-1.4699207429908174,37.19056720233748,29987.06741466108,,-1330755350.0,-135024550.0,1371127850.0,94652050.0,0.0,28220
2016-01-14,28219,28524,27683,81761,0.6803685329553508,38.63616994866316,29837.06099421717,,-32079600.0,37492650.0,-82162550.0,76749500.0,0.0,28412
2016-01-15,28447,28600,27224,68352,-3.231029142615796,34.54257440900372,29613.912328101247,,-881197950.0,0.0,544261000.0,336936950.0,0.0,27494
2016-01-18,26994,27224,26612,30562,-2.367789335855096,31.95676416609288,29350.015915901127,,-223764350.0,0.0,161096350.0,62668000.0,0.0,26843
2016-01-19,26346,26537,24013,262021,-8.26286182617442,25.070667893226286,28900.01440010102,,-1228131500.0,-681150.0,385765800.0,843046850.0,0.0,24625
2016-01-20,23935,24624,22329,442954,-9.315736040609139,20.218139940238018,28274.39398104378,,650200550.0,-441669750.0,-371216850.0,162686050.0,0.0,22331
2016-01-21,22941,24280,22406,350278,5.996148851372531,28.87208381438171,27835.880268563422,,603241750.0,-201591700.0,-83543150.0,-318106900.0,0.0,23670
2016-01-22,24165,24814,23476,146741,1.1322348964934514,30.497078252956612,27464.653576319284,,707289600.0,-32017250.0,-818550950.0,143278600.0,0.0,23938
2016-01-25,23553,25045,23553,132949,1.4328682429609825,32.61882896837737,27161.448473812685,,639333500.0,-156061850.0,-310016250.0,-173255400.0,0.0,24281
2016-01-26,25007,25313,24319,100195,1.416745603558338,34.769581612725574,26919.88195249719,,-94607850.0,7846700.0,-151418350.0,238179500.0,0.0,24625
2016-01-27,24852,25235,24471,62571,1.8639593908629442,37.63023314658617,26745.036052259366,,144064750.0,-3123900.0,-245761150.0,104820300.0,0.0,25084
2016-01-28,24548,24968,24089,106414,-3.201243820762239,34.75838222534911,26510.365952044187,,-854338650.0,9498750.0,970630450.0,-125790550.0,0.0,24281
