날짜,시가,고가,저가,거래량,등락률,RSI,기관합계,기타법인,개인,외국인합계,전체,종가
2020-01-02,24742,24786,24297,120074,-1.7945194406272735,,-1008545050,-26911600,1053821950,-18365300,0,24298
2020-01-03,24431,24875,24164,158219,0.5473701539221335,,-973928750,57174200,533931550,382823000,0,24431
2020-01-06,24119,24341,23631,134413,-3.2745282632720722,,-473693850,-52270000,941448050,-415484200,0,23631
2020-01-07,23942,24208,23720,114390,0.7532478523972748,,-402906650,134250,156517250,246255150,0,23809
2020-01-08,23497,23586,22964,189459,-2.9862656978453526,,-207701000,311500,419179250,-211789750,0,23098
2020-01-09,23186,23942,23186,164428,3.6539960169711665,,756208450,13270000,-767725700,-1752750,0,23942
2020-01-10,24031,24209,23720,131456,1.1151950547155625,,-595135850,0,347904000,247231850,0,24209
2020-01-13,24075,24297,24030,85480,-0.1858812838200669,,-94471900,13575000,113432700,-32535800,0,24164
2020-01-14,24075,24564,24031,108501,-0.5504055619930475,,-389445400,8030000,292220150,89195250,0,24031
2020-01-15,24031,24253,23986,102303,0.0,,-238975500,9485000,44869150,184621350,0,24031
2020-01-16,24075,24075,23853,87798,-0.37035495817901876,,-502479900,-43120000,113544900,432055000,0,23942
2020-01-17,23586,24164,23542,104379,-1.2989725169158801,,-633344050,0,294462750,338881300,0,23631
2020-01-20,23542,23676,23365,116738,-0.749016122889425,,74914600,0,106017650,-180932250,0,23454
2020-01-21,23409,23676,23098,157035,0.0,36.2813911956942,1104571100,10096250,377676000,-1492343350,0,23454
2020-01-22,23542,23587,23098,88976,-0.37946618913618146,34.703750555484476,278696500,-1317500,229488250,-506867250,0,23365
2020-01-23,23276,23365,22921,143111,-1.5193665739353734,29.24176268180605,-486424100,18140000,690200950,-221916850,0,23010
2020-01-28,22565,22876,21899,223762,-4.828335506301608,19.106639715384716,382441350,19845000,1782260350,-2184546700,0,21899
2020-01-29,22254,22787,21899,150595,3.6531348463400155,36.242856159224466,-601084400,972800,550314300,49797300,0,22699
2020-01-30,22742,23053,22209,120622,-0.5903343759636988,34.90891134570472,12903000,20360000,157890550,-191153550,0,22565
2020-01-31,22698,22875,21943,122687,-2.756481276312874,29.484216545564294,267909900,25000,509724950,-777659850,0,21943
2020-02-03,21232,22032,21232,193766,-1.2122316911999271,27.51503816593673,766761300,7215000,-312751200,-461225100,0,21677
2020-02-04,21410,21854,21410,149628,-0.410573418831019,26.86844508361989,-1175440100,2189000,1183038100,-9787000,0,21588
2020-02-05,21632,21766,21277,204132,-1.2321660181582361,24.979088891745363,-1395119500,12050000,1066546700,316522800,0,21322
2020-02-06,21276,23009,21276,380190,7.288246881155613,47.98920685770636,1851585800,637350,-1877397300,25174150,0,22876
2020-02-07,22787,23009,22387,195779,-1.1627906976744187,45.4211202963452,-508413250,478850,1240879300,-732944900,0,22610
2020-02-10,22254,22609,21987,115042,-1.180893409995577,42.937327280536024,-97659300,5669000,696700250,-604709950,0,22343
2020-02-11,22343,22743,22343,109431,1.5933401960345521,47.09169405302492,560931650,-631000,-117264700,-443035950,0,22699
2020-02-12,22432,23010,22432,172938,1.370104409885898,50.48325692702391,849383100,-15435000,-823661600,-10286500,0,23010
2020-02-13,23009,23009,22476,183929,-2.320730117340287,45.13342807052718,475035900,-3129300,641273600,-1113180200,0,22476
2020-02-14,22920,22920,22387,109843,0.791955864032746,47.14413661413216,242764900,-12690000,-138068550,-92006350,0,22654
2020-02-17,22654,22698,22209,113553,-0.9799593890703627,44.93247202219353,812490150,17620000,-250367800,-579742350,0,22432
2020-02-18,22299,22432,22032,114574,-0.5929029957203995,43.61243750230385,4193550,0,-217015000,212821450,0,22299
2020-02-19,22698,22742,21898,115176,-0.798242073635589,41.840787729171076,718298600,7440000,257797550,-983536150,0,22121
2020-02-20,22209,22476,22032,148089,0.0,41.840787729171076,-125538750,-2793050,-32211650,160543450,0,22121
2020-02-21,21854,22076,21454,154231,-2.8118077844582072,35.92626937461269,-831419800,-3816550,805351600,29884750,0,21499
2020-02-24,20788,20966,20255,235305,-5.577003581561933,27.775553773823276,-462162000,15165000,1014332900,-567335900,0,20300
2020-02-25,20210,20832,20210,160458,1.3103448275862069,31.489112921754767,-50724050,4482750,392949500,-346708200,0,20566
2020-02-26,20388,20788,20166,167256,-0.6466984343090538,30.64079081888319,377028800,-44556400,-141807600,-190664800,0,20433
2020-02-27,20255,20477,20077,162197,-0.43556991141780455,30.057248143621322,110808750,10032000,564821500,-685662250,0,20344
2020-02-28,20077,20077,19455,339855,-3.273692489186001,26.057965784165475,125420800,11100000,-174224850,37704050,0,19678
2020-03-02,19544,19855,19367,179194,-1.1281634312430127,24.870083193513167,-199727800,0,910865300,-711137500,0,19456
2020-03-03,19766,20077,19278,187890,0.0,24.870083193513167,-955242800,0,1035673350,-80430550,0,19456
2020-03-04,19367,19989,19367,142677,2.055921052631579,31.404475060806078,-231491400,0,-363536050,595027450,0,19856
2020-03-05,19988,20566,19899,179380,3.5757453666398065,41.18309324747089,-337364800,-26991450,130782050,233574200,0,20566
2020-03-06,20299,20388,19544,181151,-4.103860741028883,34.827293414904744,-1339620450,40449000,1685279600,-386108150,0,19722
2020-03-09,19411,19411,18078,282457,-7.205151607342055,27.212529056805778,-455253250,19591300,923682800,-488020850,0,18301
2020-03-10,17767,18567,17767,246326,-0.4863122233757718,26.817045631687066,351669450,13751800,-28165000,-337256250,0,18212
2020-03-11,18478,18789,17545,211264,-2.6850428289040194,24.693572176424368,-569896300,0,718649000,-148752700,0,17723
2020-03-12,17722,17856,16123,388161,-7.7695649720701905,19.91209021968787,-298933850,21687500,391958400,-114712050,0,16346
2020-03-13,14214,15280,13681,599781,-7.879603572739508,16.662144519814746,-138757800,-26036000,187496050,-22702250,0,15058
2020-03-16,15324,15724,14036,266654,-6.196041971045291,14.780264529559034,-791227600,-9480000,881803350,-81095750,0,14125
2020-03-17,13103,14036,12481,321773,-2.5132743362831858,14.126491885292225,-307743350,-7650000,98907600,216485750,0,13770
2020-03-18,13769,13947,12392,377835,-9.680464778503994,11.98310578284179,-283559250,-70176900,785565000,-431828850,0,12437
2020-03-19,12437,12793,10527,499167,-14.279971054112728,9.840749253552374,271425200,0,-1259093300,987668100,0,10661
2020-03-20,10749,11237,10482,685150,3.742613263296126,13.578899594425266,513693650,68230950,1070081950,-1652006550,0,11060
2020-03-23,10083,10349,9639,587506,-10.03616636528029,12.078539021422301,-181621450,-42751000,817817200,-593444750,0,9950
2020-03-24,10127,10394,9727,750299,3.125628140703517,14.91518550914715,247243900,-28625000,1520885150,-1739504050,0,10261
2020-03-25,10749,11726,10527,1341414,7.35795731410194,21.533759255032095,-139062400,0,3641397700,-3502335300,0,11016
2020-03-26,11193,11815,10927,1047623,-0.807915758896151,21.323191291319702,-186938100,111150000,2521351700,-2445563600,0,10927
2020-03-27,11593,12348,11060,913916,7.321314175894574,28.126581909549927,313360400,0,28859750,-342220150,0,11727
2020-03-30,11193,11859,10882,485433,0.750405048179415,28.855364846865157,70676050,0,-229309700,158633650,0,11815
2020-03-31,12259,12259,11638,608005,1.1341515023275497,30.019000047356016,16913650,0,1241188750,-1258102400,0,11949
2020-04-01,11815,12570,11727,602592,-1.857896058247552,29.167838872220756,-352700400,-109600000,772044550,-309744150,0,11727
2020-04-02,11726,12437,11370,497901,6.054404365993007,35.46970657321168,174653050,-32325000,37672200,-180000250,0,12437
2020-04-03,12748,13103,12081,613216,-1.0693897242100185,34.84431970970468,-148495850,935350,1537161900,-1389601400,0,12304
2020-04-06,12659,12970,12393,402164,4.697659297789337,39.81103129693408,633972450,97936600,-264351250,-467557800,0,12882
2020-04-07,13370,13681,13014,562968,5.1700046576618535,45.01234372475838,43175550,-104421800,-856661300,917907550,0,13548
2020-04-08,13459,13903,13148,403492,-0.9816947150870977,44.191061231048536,-332765750,0,1076446800,-743681050,0,13415
2020-04-09,13858,14392,13681,489928,7.282892284755871,51.230483180600466,-66464000,2699350,-618487400,682252050,0,14392
2020-04-10,14480,15590,14169,725145,5.551695386325736,56.10655203912131,-204461400,117033800,1774220900,-1686793300,0,15191
2020-04-13,14969,15191,14392,401271,-4.673820025014811,51.20709690688008,-199746050,-2092150,795177100,-593338900,0,14481
2020-04-14,14569,15279,14569,310875,3.369933015675713,54.16944108060638,192085750,0,-447009850,254924100,0,14969
2020-04-16,14703,15058,14480,317421,-1.7770058120114902,52.30533202037256,-108946800,0,788147000,-679200200,0,14703
2020-04-17,14835,15013,14658,390643,0.2992586546963205,52.595927157690255,-200509500,0,1331477400,-1130967900,0,14747
2020-04-20,14791,15102,14658,323056,-0.6035125788295925,51.907010722901546,-397644650,0,795301300,-397656650,0,14658
2020-04-21,14391,14658,13769,415819,0.0,51.907010722901546,-488107400,600,-38763450,526870250,0,14658
2020-04-22,14658,15547,14125,534336,5.157593123209169,57.40354614909781,-812654700,73191250,745987750,-6524300,0,15414
2020-04-23,15947,16568,15591,995105,2.017646295575451,59.456376664084516,711185000,42240150,-308962850,-444462300,0,15725
2020-04-24,16213,16435,15369,806262,0.0,59.45637666408452,-299620950,-127789150,1505504250,-1078094150,0,15725
2020-04-27,15546,15812,15279,331616,-1.4181240063593006,57.16536920762012,277134300,3346800,263841450,-544322550,0,15502
2020-04-28,15235,15368,14924,457474,-2.86414656173397,52.80274918226148,35578600,-170000,669462300,-704870900,0,15058
2020-04-29,14925,15680,14925,676926,1.1820958958693053,54.30822613087009,1550302050,20504800,632651950,-2203458800,0,15236
2020-05-04,14703,15191,14570,326318,-2.3300078760829614,50.82615454966543,-69682550,77110000,656468650,-663896100,0,14881
2020-05-06,15280,15502,15057,260964,2.6812714199314565,54.36755502935097,608699150,0,-77064550,-531634600,0,15280
2020-05-07,15102,15413,15013,205281,-0.28795811518324604,53.90650662575448,381628350,0,-493780000,112151650,0,15236
