날짜,시가,고가,저가,거래량,등락률,RSI,기관합계,기타법인,개인,외국인합계,전체,종가
2023-10-05,59100,67600,46450,23416071,,,-119265548250,-62425812350,272892520850,-91201160250,0,51400
2023-10-06,49550,53400,49100,6183396,0.7782101167315175,,3591725600,2072769050,4698030350,-10362525000,0,51800
2023-10-10,51200,51300,46300,4693925,-9.942084942084941,,1477169000,-1237987000,17512521900,-17751703900,0,46650
2023-10-11,47600,49100,45400,3303330,0.5359056806002144,,-138023650,363032400,-931197050,706188300,0,46900
2023-10-12,47250,50200,46700,4428666,1.9189765458422177,,1492028800,-488292550,-1471194150,467457900,0,47800
2023-10-13,47550,47600,45700,1714981,-4.288702928870293,,288610950,21988100,5480833100,-5791432150,0,45750
2023-10-16,44650,44700,41300,2296251,-8.961748633879782,,-2096944050,49078450,3239077050,-1191211450,0,41650
2023-10-17,42450,44050,42000,2108796,1.800720288115246,,3180509250,-120419750,-2931676450,-128413050,0,42400
2023-10-18,42450,43500,41100,1281198,-3.0660377358490565,,2196300,-75879800,-710736450,784419950,0,41100
2023-10-19,40750,40750,38150,1320711,-6.934306569343065,,-1542856750,-104819200,2113236950,-465561000,0,38250
2023-10-20,37050,37400,35150,1404496,-7.18954248366013,,-752446150,-882943600,2646517900,-1011128150,0,35500
2023-10-23,34900,37250,34800,1123104,1.4084507042253522,,2308228500,75998550,-3507520600,1123293550,0,36000
2023-10-24,36650,37050,34650,787565,0.4166666666666667,,-396797150,73647400,1605092200,-1281942450,0,36150
2023-10-25,36550,36600,35000,504879,-2.904564315352697,12.909190145519304,-124068950,99401900,895060300,-870393250,0,35100
2023-10-26,33800,34350,33200,644789,-5.270655270655271,11.292651991326665,-233264100,78845700,604251250,-449832850,0,33250
2023-10-27,33500,33650,32150,608641,-2.857142857142857,10.561277237231977,82580100,7506750,-374811950,284725100,0,32300
2023-10-30,32300,41950,32150,8438127,27.39938080495356,45.78660162795174,200594950,-216722050,-3021904000,3038031100,0,41150
2023-10-31,40450,41000,36850,3557781,-9.477521263669502,38.576264052802166,188423900,173220400,4045165600,-4406809900,0,37250
2023-11-01,37250,42250,37250,5184793,7.919463087248323,45.559851576921126,-446466850,68777450,-3523077250,3900766650,0,40200
2023-11-02,41000,43400,41000,2616980,3.6069651741293534,48.65022907416658,5181464900,1044436600,-9194887100,2968985600,0,41650
2023-11-03,43100,46250,41550,4902547,7.563025210084033,54.670308615044384,7348607900,-1076442150,-8476559700,2204393950,0,44800
2023-11-06,43900,48250,43350,5550072,4.799107142857143,58.266639672119325,-17398090650,2387810950,26084376700,-11074097000,0,46950
2023-11-07,46950,47000,43800,1823105,-2.023429179978701,56.146947103886184,6921005850,290761350,4308348650,-11520115850,0,46000
2023-11-08,45950,48350,44650,2999389,2.391304347826087,58.04994874918231,6746080050,-46141000,-6184483450,-515455600,0,47100
2023-11-09,46600,48500,45800,1803648,0.0,58.04994874918231,8179017500,-1303500800,-4492929700,-2382587000,0,47100
2023-11-10,46250,47850,45950,940634,-0.5307855626326964,57.393473240104264,4710335200,-130945850,-3420370350,-1159019000,0,46850
2023-11-13,47600,48100,42850,1527166,-7.043756670224119,49.44477976899044,-1792932950,-32403100,51099450,1774236600,0,43550
2023-11-14,43000,45250,42550,1072622,-0.3444316877152698,49.11182798685895,1082318000,-576650,1051634350,-2133375700,0,43400
2023-11-15,45100,48000,44150,2827539,8.064516129032258,56.47639510833482,4629913850,-697575900,-17568566600,13636228650,0,46900
2023-11-16,48500,51300,48250,4587796,8.955223880597014,63.33383210693316,10605883800,-297846500,-14041285300,3733248000,0,51100
2023-11-17,50500,52400,48300,2847700,0.5870841487279843,63.772895509431926,5976030100,283456300,8733785250,-14993271650,0,51400
2023-11-20,50800,61100,50200,9112133,13.813229571984436,72.24400498112165,-52376700,619914000,-19746036800,19178499500,0,58500
2023-11-21,58200,60700,57300,3954875,1.8803418803418803,73.28622856423381,4836185800,75806100,-16728459700,11816467800,0,59600
2023-11-22,59600,69100,59300,11265423,6.7114093959731544,76.71083042143616,5397390200,-86450400,3238541700,-8549481500,0,63600
2023-11-23,64000,69600,63100,6850460,1.10062893081761,77.2602242685933,-1544967600,314688500,-3599756100,4830035200,0,64300
2023-11-24,66500,75300,64700,10028277,15.707620528771384,83.35976628224573,3142144200,-2187152600,-33244895700,32289904100,0,74400
2023-11-27,76700,89100,75100,13405683,7.661290322580645,85.6922589470831,11668773400,1286401900,78943564400,-91898739700,0,80100
2023-11-28,80100,82900,74700,7395597,2.1223470661672907,86.3086629846574,12231216000,1204270600,439925000,-13875411600,0,81800
2023-11-29,84600,94700,80900,12924160,1.3447432762836184,86.70770874337906,16051331100,7560577400,-5588697800,-18023210700,0,82900
2023-11-30,84000,92900,84000,6996550,12.062726176115802,89.65857339834693,10530865300,-2296774800,-61586998400,53352907900,0,92900
2023-12-01,95100,97900,88000,5690146,-4.413347685683531,81.65471747654446,-3086938900,-86716200,68079549400,-64905894300,0,88800
2023-12-04,84700,86300,78900,3964221,-10.022522522522523,67.55646758423141,-2266309300,-746271500,-13932220600,16944801400,0,79900
2023-12-05,80900,86000,79000,4298999,2.252816020025031,68.73230420927852,-39027781800,1302353800,20854211200,16871216800,0,81700
2023-12-06,80100,89700,76900,5607749,9.057527539779683,73.05573995722693,35491100,-5739767300,-33782754500,39487030700,0,89100
2023-12-07,87200,90900,82100,3144097,-7.744107744107744,64.14888648515299,1204071100,-1842790400,32637764500,-31999045200,0,82200
2023-12-08,84200,88900,83200,3354779,3.7712895377128954,66.1458892271265,-3562784100,667034100,-21829607600,24725357600,0,85300
2023-12-11,87500,91700,87100,3639528,4.6893317702227435,68.57804920179238,3365218300,-546036700,-20297003800,17477822200,0,89300
2023-12-12,90000,91200,86600,2307460,0.8958566629339306,69.0568554958906,4676826700,1067327900,-2988340800,-2755813800,0,90100
2023-12-13,88900,90100,85500,1771931,-4.439511653718091,63.820361008088284,-488721500,-725251700,30018450300,-28804477100,0,86100
2023-12-14,88500,89000,84600,1720285,0.0,63.82036100808828,1226300600,-223460300,3477870600,-4480710900,0,86100
2023-12-15,87500,94900,87400,5141163,9.75609756097561,69.46044112310379,3789129300,-874836400,-54873956800,51959663900,0,94500
2023-12-18,93700,109400,92000,8284618,14.074074074074074,75.8735837494659,4364482500,294190200,3317901200,-7976573900,0,107800
2023-12-19,108700,118400,103500,6280674,0.0,75.8735837494659,1995375600,930690000,27742939800,-30669005400,0,107800
