날짜,시가,고가,저가,거래량,등락률,RSI,기관합계,기타법인,개인,외국인합계,전체,종가
2015-01-02,17824,18092,17365,545645,-3.8134188128661437,,-3565759650,-20642950,2189973500,1396429100,0,17404
2015-01-05,17594,17710,17058,541196,1.1089404734543782,,-2384059200,-5398400,927805650,1461651950,0,17597
2015-01-06,17288,17404,16906,499852,-3.477865545263397,,-1763372100,-85027650,1609081450,239318300,0,16985
2015-01-07,16830,17212,16752,373291,-0.9066823667942302,,-1182900750,77370300,1450056200,-344525750,0,16831
2015-01-08,16945,17250,16906,315246,0.9149783138256787,,-1010979050,-288998050,120131850,1179845250,0,16985
2015-01-09,17250,17671,17250,361289,3.3735649102148955,,-204107500,-113336300,-1147010650,1464454450,0,17558
2015-01-12,17404,17556,17250,277094,-1.0878232144891218,,-803251850,-204534350,1171203250,-163417050,0,17367
2015-01-13,17250,17365,16982,360529,-1.9865261703230264,,-323194500,21150450,1039885800,-737841750,0,17022
2015-01-14,17021,17250,16830,345214,-0.8988367994360239,,-951385500,613838900,905389100,-567842500,0,16869
2015-01-15,16868,16982,16715,308935,-0.2252652795067876,,406671650,2504800,799032600,-1208209050,0,16831
2015-01-16,16791,16906,16295,467780,-2.501336818965005,,-316220400,98588800,1719060650,-1501429050,0,16410
2015-01-19,16600,16945,16562,430024,2.797074954296161,,-779023150,-236826250,1006137100,9712300,0,16869
2015-01-20,16830,17098,16676,203810,-0.6757958385203628,,141924250,-7121000,38043500,-172846750,0,16755
2015-01-21,16752,16791,16447,257091,-0.45956430916144436,39.516482419635416,72974500,395284550,-269493650,-198765400,0,16678
2015-01-22,16868,17288,16752,407972,3.441659671423432,52.76571601913274,1676861600,-634771100,-1391602850,349512350,0,17252
2015-01-23,17556,17594,17098,311793,-0.4463250637607234,51.14712018376991,1282406750,-277500,-453753600,-828375650,0,17175
2015-01-26,17174,17365,17058,218088,0.8908296943231441,54.1563227153184,-60315050,-126453700,741760700,-554991950,0,17328
2015-01-27,17480,17977,17404,557153,3.3125577100646355,63.29177036726176,775414800,-134819200,-989065850,348470250,0,17902
2015-01-28,17862,18589,17786,672086,3.413026477488549,70.11791242540073,2994636450,57565550,-4545958150,1493756150,0,18513
2015-01-29,18054,18397,18016,416927,-1.8527521201317991,63.03178318364835,498722250,0,-1301539600,802817350,0,18170
2015-01-30,18437,18551,17671,487598,-1.8932305998899286,56.82883890159258,-728162800,-457194200,1854306700,-668949700,0,17826
2015-02-02,17901,18589,17862,483502,3.220015707393695,63.31597996376289,211698100,-6682000,-1847612950,1642596850,0,18400
2015-02-03,18437,18743,18168,568648,1.8641304347826089,66.55054283905778,3681413200,-73488000,-2899057200,-708868000,0,18743
2015-02-04,18819,19240,18743,655328,2.2515072293656297,70.04955151933677,4071221800,24599450,-4388641600,292820350,0,19165
2015-02-05,19125,19355,18895,613210,0.19827811114009916,70.35031963203606,2494651550,-74560350,-995665000,-1424426200,0,19203
2015-02-06,19049,20425,18665,1598699,5.775139301150862,77.46329759924137,10831442900,-178048500,-14816572250,4163177850,0,20312
2015-02-09,20464,20578,20119,633402,-0.18708152816069318,76.7835675522702,1926409850,529500,-1660044550,-266894800,0,20274
2015-02-10,20195,20501,19928,690805,0.0,76.7835675522702,7651898350,-3132950,-4456755500,-3192009900,0,20274
2015-02-11,20387,20425,19661,515811,-1.5093222846996153,70.96777541948359,555151200,1060000,-164340000,-391871200,0,19968
2015-02-12,19813,20234,19622,862051,1.151842948717949,72.64491697246947,897862150,-50583800,-4708842400,3861564050,0,20198
2015-02-13,20043,20655,19775,595859,2.0794138033468657,75.43554917517092,5093803950,-76416100,-6211088400,1193700550,0,20618
2015-02-16,20655,21190,20617,575873,1.6684450480162965,77.46344623390792,3395791250,-165170450,-3408740250,178119450,0,20962
2015-02-17,20961,21267,20731,394653,0.7346627230226124,78.32607392532472,3133182450,2154500,-2544916600,-590420350,0,21116
2015-02-23,21114,21382,20923,371643,0.5398749763212729,78.96785695715796,279675500,-33070850,-1606331550,1359726900,0,21230
2015-02-24,21267,21496,21190,538172,1.078662270372115,80.23400541192683,336286450,0,-3162953200,2826666750,0,21459
2015-02-25,21458,21496,21153,502240,-0.5359056806002144,77.70416885852724,390879800,-10226300,-1741925650,1361272150,0,21344
2015-02-26,21382,22186,21153,827669,3.9449025487256373,82.14359595772923,5245224100,-193345800,-8164064450,3112186150,0,22186
2015-02-27,22108,22414,21917,881016,0.175786532047237,82.31920314844214,1785375450,162628200,-4079787850,2131784200,0,22225
2015-03-02,22262,22911,22223,678186,1.889763779527559,84.12934462240628,2655381850,-6537700,-5172180150,2523336000,0,22645
2015-03-03,22759,23027,22262,722728,1.0156767498344006,85.03301145004275,-321555100,12891000,-4347402650,4656066750,0,22875
2015-03-04,23485,23906,22070,1726258,-3.1781420765027324,71.2275016495658,-5900297850,-357147900,842132300,5415313450,0,22148
2015-03-05,22186,22759,21956,512885,0.1715730540003612,71.48807220596643,-1629924650,17109550,-40616500,1653431600,0,22186
2015-03-06,22223,22338,21726,472955,-1.2034616424772377,66.90339986588936,-353849000,23370300,-812825250,1143303950,0,21919
2015-03-09,21764,22186,21726,251203,-0.35129339842146085,65.59686221391885,-1136351900,161380500,-36088050,1011059450,0,21842
2015-03-10,21956,21993,21190,517070,-2.1014559106308948,58.28934928343006,918828850,-264469750,-1349552750,695193650,0,21383
2015-03-11,21037,21687,20923,538446,-0.7155216760978347,56.04799734585452,377044400,-6762950,260963850,-631245300,0,21230
2015-03-12,21267,21382,20847,411820,-1.8040508714083845,50.78373512219772,-2085622900,-8361250,1380580250,713403900,0,20847
2015-03-13,21114,21153,20617,450143,-0.36456084808365713,49.78449238619395,-2030450000,-27145600,494103150,1563492450,0,20771
2015-03-16,20770,20961,20234,437173,-0.3707091618121419,48.73814198531374,-16075700,-50640000,-912698350,979414050,0,20694
2015-03-17,20693,21802,20693,691433,5.175413163235721,61.0123515105287,-1663534600,-16114000,-3620246850,5299895450,0,21765
2015-03-18,21573,22032,21458,339254,0.877555708706639,62.72642266050629,1665956200,3453900,-415509650,-1253900450,0,21956
2015-03-19,22186,22491,22032,541779,1.2251776279832391,65.05650737240899,1779970650,-53408200,-1941946150,215383700,0,22225
2015-03-20,22338,22644,22108,526030,1.889763779527559,68.38013485406071,2535812050,-22971000,-4000928400,1488087350,0,22645
2015-03-23,22835,22874,22108,483861,-1.1790682269816737,64.19966183113277,1799124000,117407100,-355366450,-1561164650,0,22378
2015-03-24,21917,22338,21458,812733,-1.5416927339351147,59.16625461414126,-38942700,-165677000,1589275000,-1384655300,0,22033
2015-03-25,21993,22108,21153,659295,-2.255707348068806,52.75010302330929,-1838029250,-31588900,771016850,1098601300,0,21536
2015-03-26,21420,21993,21190,502022,-0.3575408618127786,51.81263759863378,-3142719100,-12162500,-1347074450,4501956050,0,21459
2015-03-27,21726,21879,21229,514355,0.35882380353231746,52.71757057271885,-434838500,0,-874464800,1309303300,0,21536
2015-03-30,21534,21879,21267,445810,1.4208766716196137,56.23500137166606,3027134200,-9138000,-2412835150,-605161050,0,21842
2015-03-31,21956,22032,21267,697989,-0.8790403809174985,53.543485746153095,-2298998700,3638000,1152218600,1143142100,0,21650
2015-04-01,21343,21458,20655,664960,-4.415704387990762,42.60830831865143,-4376753850,42563700,2773762450,1560427700,0,20694
2015-04-02,20923,21114,20578,486595,1.8507780032859764,47.25580832666441,-3361895700,20051000,1364615850,1977228850,0,21077
2015-04-03,20923,21343,20770,415142,1.2667836978697158,50.27861755181273,663000150,-21234000,-589889350,-51876800,0,21344
2015-04-06,21267,21573,20884,393391,-1.6070089955022486,46.585017221358285,-2263247850,4392500,1876863450,381991900,0,21001
2015-04-07,20961,21267,20923,270976,0.36188752916527783,47.505226887863785,-1453438900,11253500,121146400,1321039000,0,21077
2015-04-08,21076,21496,20655,464786,1.8124021445177207,51.98291597970687,-858737950,2730000,-1771700650,2627708600,0,21459
2015-04-09,21610,22644,21420,983778,5.167994780744676,62.09218017343414,2771812600,491577800,-3985215050,721824650,0,22568
2015-04-10,22644,23102,22299,625793,-1.0147110953562566,59.315165772997446,-355299800,133626400,515948550,-294275150,0,22339
2015-04-13,22605,23332,22376,1195303,4.109405076323918,65.89927106702883,-622488900,95687400,-2088574050,2615375550,0,23257
2015-04-14,23868,24710,23753,1704875,4.609364922388958,71.66577224219576,1687018050,-596168900,-8526820950,7435971800,0,24329
2015-04-15,24710,24939,24289,907117,0.4726869168482058,72.20870401826384,2112253350,-277690300,-3450257650,1615694600,0,24444
