날짜,시가,고가,저가,거래량,등락률,RSI,기관합계,기타법인,개인,외국인합계,종가
2020-01-02,2918,2969,2853,2941870,1.7549896765313144,,-6743550.0,-68850000.0,-1057741000.0,1133334550.0,2957
2020-01-03,2950,2950,2879,2092980,-1.5218126479540075,,-406966600.0,-21916300.0,476955300.0,-48072400.0,2912
2020-01-06,2827,2975,2801,3307245,1.098901098901099,,-72851900.0,-115237900.0,-1540057200.0,1728147000.0,2944
2020-01-07,2931,2995,2892,1961025,-1.528532608695652,,92071850.0,-38289550.0,1218903100.0,-1272685400.0,2899
2020-01-08,2879,2899,2763,3402040,-4.00137978613315,,721364300.0,-3986250.0,-1831673800.0,1114295750.0,2783
2020-01-09,2892,2969,2853,2899450,6.719367588932807,,1114084050.0,-127454000.0,118959950.0,-1105590000.0,2970
2020-01-10,3009,3106,2976,4637820,2.861952861952862,,-84661350.0,282250200.0,794297600.0,-991886450.0,3055
2020-01-13,3067,3099,3002,2617980,-0.851063829787234,,-124896900.0,-8863950.0,601854900.0,-468094050.0,3029
2020-01-14,3086,3131,2983,2711080,-0.8583690987124464,,-93814050.0,-683550.0,826650900.0,-732153300.0,3003
2020-01-15,3008,3015,2950,1592285,-0.4329004329004329,,-357154950.0,16145000.0,150603250.0,190406700.0,2990
2020-01-16,2976,3034,2976,1157300,0.2006688963210702,,184429100.0,-39395000.0,-466515850.0,321481750.0,2996
2020-01-17,3034,3060,2976,1615605,-0.6341789052069425,,115037100.0,-203152200.0,589105800.0,-500990700.0,2977
2020-01-20,2989,3073,2989,2948275,1.948270070540813,,164124150.0,19951850.0,344018550.0,-528094550.0,3035
2020-01-21,3014,3034,2924,2299135,-2.9983525535420097,47.451554760907115,-516083350.0,450850.0,1169974300.0,-654341800.0,2944
2020-01-22,2963,2982,2931,1779805,0.2377717391304348,48.26754715422849,405208900.0,-290620300.0,527659700.0,-642248300.0,2951
2020-01-23,2957,3021,2925,2570575,-0.4405286343612335,46.81366606456482,-628218100.0,12510000.0,1261267150.0,-645559050.0,2938
2020-01-28,2782,2834,2711,4056710,-5.275697753573859,33.757471850551326,-262467350.0,-25107550.0,1012200850.0,-724625950.0,2783
2020-01-29,2821,2827,2737,1944265,-0.9342436219906577,32.13829915717686,-10086150.0,25877500.0,-627849300.0,612057950.0,2757
2020-01-30,2814,2878,2743,2687445,-0.25389916575988397,31.697483094515036,-271349350.0,122750.0,11245850.0,259980750.0,2750
2020-01-31,2788,2801,2646,2171880,-3.5272727272727273,26.31177257569084,335616950.0,26470300.0,-654877150.0,292789900.0,2653
2020-02-03,2594,3125,2562,22183225,11.232566905390124,52.82878153075372,1270845300.0,369815550.0,-1952187650.0,311526800.0,2951
2020-02-04,3079,3099,2943,6387255,2.846492714334124,57.47421717499768,167818250.0,-1805513900.0,391864550.0,1245831100.0,3035
2020-02-05,3118,3163,2989,9056915,1.28500823723229,59.469924145763486,-87123900.0,-2454046100.0,1735804050.0,805365950.0,3074
2020-02-06,3028,3228,3021,8043875,4.619388418998048,65.76894642277524,347923850.0,-190995350.0,-5241870500.0,5084942000.0,3216
2020-02-07,3326,3403,3267,12098315,3.6380597014925375,69.91745929078633,-1084829450.0,-379663300.0,3308401650.0,-1843908900.0,3333
2020-02-10,3267,3396,3241,5227040,0.18001800180018002,70.11746376084677,355704000.0,-698088900.0,-1445393600.0,1787778500.0,3339
2020-02-11,3390,3636,3364,17196760,7.756813417190776,77.17271702908494,326054450.0,-1755654800.0,-6469820600.0,7899420950.0,3598
2020-02-12,3610,3695,3559,7876265,0.19455252918287938,77.32851367586707,645873400.0,116790250.0,1194705150.0,-1957368800.0,3605
2020-02-13,3611,3695,3565,5518650,0.36061026352288483,77.63381299174519,666604800.0,110473950.0,151769950.0,-928848700.0,3618
2020-02-14,3643,3708,3559,4780895,-1.077943615257048,74.397074344031,708710800.0,-10149850.0,1382884650.0,-2081445600.0,3579
2020-02-17,3494,3578,3410,5327670,-1.0896898575020955,71.20022080298031,-273872400.0,-325960900.0,-572881800.0,1172715100.0,3540
