날짜,시가,고가,저가,거래량,등락률,RSI,기관합계,기타법인,개인,외국인합계,전체,종가
2019-03-05,15096,16208,14800,15995367,,,-4627186800,-9214973400,10904502000,2937658200,0,15616
2019-03-06,15911,17196,15738,6007950,8.702612704918032,,20432428400,-32262908600,9910740500,1919739700,0,16975
2019-03-07,17369,17888,17097,4126721,1.891016200294551,,4605430100,-10304526100,4973636500,725459500,0,17296
2019-03-08,17295,17493,16702,1910858,-0.14454209065679927,,4418108700,-9891750400,6124567200,-650925500,0,17271
2019-03-11,17196,17369,16332,1597077,-1.0016791152799491,,-2458394000,-358615400,993557800,1823451600,0,17098
2019-03-12,17147,17419,16480,1356933,-2.8892268101532346,,-495284600,517897400,2114827000,-2137439800,0,16604
2019-03-13,16579,16603,15788,1823200,-1.7827029631414117,,1574349900,-1992384500,97181500,320853100,0,16308
2019-03-14,16554,17468,16332,2820362,6.058376257051753,,3126317700,-7826351500,4529664400,170369400,0,17296
2019-03-15,17320,17592,16406,1937523,-2.2895467160037004,,649754000,-3925936800,4011327600,-735144800,0,16900
2019-03-18,16801,17073,16257,1610308,-1.165680473372781,,582941400,-4188983900,2670231300,935811200,0,16703
2019-03-19,16875,17962,16727,3981717,7.54355504999102,,2906569100,-15511692800,11102425200,1502698500,0,17963
2019-03-20,18086,18284,17394,2422673,-1.7870066247286087,,-50707900,-7390725800,6665477400,775956300,0,17642
2019-03-21,17839,18407,17666,2560413,2.2389751728828933,,2428938700,-8391027600,4778101900,1183987000,0,18037
2019-03-22,18061,18160,16900,4400307,-4.246825968841826,57.37932614692695,17538988100,-46582088200,30032384200,-989284100,0,17271
2019-03-25,16925,16999,16307,2532137,-3.578252562098315,50.291210393584635,1352706300,-679632100,-881913800,208839600,0,16653
2019-03-26,16776,17073,16455,776323,1.339098060409536,52.568124893034756,917673600,-126497700,-975808000,184632100,0,16876
2019-03-27,17122,17542,16826,1186907,3.2175871059492773,57.65441702675925,-472847900,-75974500,-1782804100,2331626500,0,17419
2019-03-28,17122,17122,15368,3409025,-11.206154199437396,40.74111004438589,-9044560500,-739738900,14152841700,-4368542300,0,15467
2019-03-29,15467,15615,14157,3075627,-2.3921898234951833,38.439257343967896,3782405400,268396600,113751800,-4164553800,0,15097
2019-04-01,14849,15244,14750,831587,-0.3311916274756574,38.125772687561444,-1035890600,8733900,926810500,100346200,0,15047
2019-04-02,15195,15244,14454,975754,-2.791254070578853,35.50631789788271,-1998997800,110186400,1821594000,67217400,0,14627
2019-04-03,15022,15318,14849,1161355,3.2132357968141108,40.43799687561599,-694178700,90702000,307150400,296326300,0,15097
2019-04-04,15170,15220,14899,540148,-0.3311916274756574,40.08681186258145,-1688286600,329803600,783211900,575271100,0,15047
2019-04-05,14602,14923,14602,937330,-2.1333156110852665,37.81619489661007,-4282659100,114836500,3656540500,511282100,0,14726
2019-04-08,14824,15738,14775,1451219,6.546244737199511,47.44388869360897,2388351500,729166900,-4669614500,1552096100,0,15690
2019-04-09,15763,16307,15738,1298896,2.045889101338432,50.20837207387271,1390058000,142742400,-1681639000,148838600,0,16011
2019-04-10,16010,16455,15887,733244,2.1610143026669166,53.07362842909046,-1234756300,1344720200,-199017600,89053700,0,16357
2019-04-11,16505,16554,16010,632623,1.2043773308063825,54.672962911100505,3331750400,123967800,-3600132700,144414500,0,16554
2019-04-12,16529,16727,16257,507755,-1.4860456687205508,52.27696594360243,-1647903600,62247400,715401200,870255000,0,16308
2019-04-15,16208,16307,15491,746770,-3.1824871228844738,47.54307889843078,-935198500,27149000,927546300,-19496800,0,15789
2019-04-16,15763,15763,15294,537124,-2.0393945151687887,44.830665386972946,-1250579600,13032000,1237261800,285800,0,15467
2019-04-17,15566,15862,15368,367685,0.640072412232495,45.85349439489504,-809687500,-56318300,346736400,519269400,0,15566
2019-04-18,15615,15887,15442,355380,0.0,45.85349439489504,947571500,-21077700,-1096662200,170168400,0,15566
2019-04-19,15491,15813,15467,325795,0.47539509186688933,46.70997417175505,502003700,73714000,-95005700,-480712000,0,15640
2019-04-22,15640,15936,15590,451677,1.8989769820971867,50.12018276987672,632087000,786900,-694398700,61524800,0,15937
2019-04-23,16060,16060,15689,425343,-0.928656585304637,48.456105568549404,-1346913300,31195000,1353152800,-37434500,0,15789
2019-04-24,15936,15986,15244,549342,-1.8810564316929508,45.212007092743825,-973199000,-32824500,924178200,81845300,0,15492
