날짜,시가,고가,저가,거래량,등락률,RSI,기관합계,기타법인,개인,외국인합계,종가
2022-06-27,135000,156600,131700,3082174,8.981555733761027,,-58506796100,-1707916900,83146819500,-22932106500,135900
2022-06-28,133900,136600,126100,1339086,-5.886681383370125,,2207014100,-606592400,18637976000,-20238397700,127900
2022-06-29,125400,125600,120800,787677,-5.08209538702111,,-3857268100,-488284900,3399208300,946344700,121400
2022-06-30,120600,122600,112000,924611,-6.507413509060955,,-2757184700,134779400,9383106200,-6760700900,113500
2022-07-01,112900,114600,108000,695589,-4.317180616740088,,-6482275900,1342241800,2733003300,2407030800,108600
2022-07-04,110400,112900,106900,648837,2.9465930018416207,,-2165607300,-171823900,3639498200,-1302067000,111800
2022-07-05,111900,121700,110400,820535,7.6923076923076925,,3944236100,180746100,-22794680400,18669698200,120400
2022-07-06,120700,122500,115000,499510,-4.485049833887043,,-6738377200,203935300,12489575000,-5955133100,115000
2022-07-07,116400,119200,115700,343429,1.2173913043478262,,2922309600,-28454900,-1788152300,-1105702400,116400
2022-07-08,120000,121400,118400,371124,2.147766323024055,,9328586500,-39179500,-10656836700,1367429700,118900
2022-07-11,119600,120200,114200,293996,-3.616484440706476,,-2323741100,-144372000,8877561600,-6409448500,114600
2022-07-12,113000,114100,110500,292517,-3.2286212914485164,,-1959786000,100145900,2670720100,-811080000,110900
2022-07-13,108000,120000,108000,1074732,8.205590622182147,,6660974900,-379623600,-32527475200,26246123900,120000
2022-07-14,127200,127300,114200,1906215,-2.5,41.56120100915644,-24562053900,-15078900,33137144400,-8560011600,117000
2022-07-15,115700,117700,110100,1792794,-4.700854700854701,36.600627381769094,-25499797900,126495500,40407052900,-15033750500,111500
2022-07-18,112300,113600,107700,1395732,-1.5246636771300448,35.20206182754171,11509451400,-429007400,23442852300,-34523296300,109800
2022-07-19,110000,112000,108500,1214631,0.7285974499089253,36.43304316170501,6335308100,-2152498200,-3778405300,-404404600,110600
2022-07-20,113800,114200,109700,1383052,-0.6329113924050633,35.79231645958123,3743801300,408841200,10025995900,-14178638400,109900
2022-07-21,111100,115400,110200,1686917,4.640582347588717,43.5777782577933,28420935800,-373033300,-37784784700,9736882200,115000
2022-07-22,117100,119900,116100,1634500,2.2608695652173916,47.09942374123147,27327350900,684573900,-36401475500,8389550700,117600
2022-07-25,117700,120500,116800,644565,0.4251700680272109,47.77451007050667,7044827500,-391678700,1010936500,-7664085300,118100
2022-07-26,117500,118400,113200,783952,-0.6773920406435224,46.74660350937751,697328300,-245723200,5683071300,-6134676400,117300
2022-07-27,115900,117500,115100,505338,-0.08525149190110827,46.611599675974,-407388600,-291612200,-4689038400,5388039200,117200
2022-07-28,119100,119900,116500,818259,1.4505119453924915,49.29262415596334,-1663058300,221410600,-14767236200,16208883900,118900
2022-07-29,120000,120700,118500,610438,0.42052144659377627,50.086545118576524,10198675700,-646791400,-14439777500,4887893200,119400
2022-08-01,119400,127900,118700,1734729,6.95142378559464,61.00198823155323,27157950200,196852200,-68154961300,40800158900,127700
2022-08-02,128000,128000,124200,823652,-1.7227877838684416,57.417732033659405,-2094636600,855575400,14531635400,-13292574200,125500
2022-08-03,124800,128500,124800,1000161,1.593625498007968,59.73398356480485,17534654500,-330536700,-15843084200,-1361033600,127500
2022-08-04,129500,133500,127300,1554544,0.39215686274509803,60.315157704829154,-9103801400,-335195900,-8841005400,18280002700,128000
2022-08-05,129500,131500,121400,2022989,-3.125,53.64451596599691,-21017348000,2341269700,49526485700,-30850407400,124000
2022-08-08,121800,124300,121000,1181132,-1.935483870967742,50.06663808997154,-13220133200,-1457430700,13175826900,1501737000,121600
2022-08-09,122600,123900,121200,926430,1.3980263157894737,52.48410987551137,-3182360000,611593000,-2264256800,4835023800,123300
2022-08-10,122000,124700,121500,716593,-0.7299270072992701,51.07432921089759,-7421287600,159836300,-1662897500,8924348800,122400
