날짜,시가,고가,저가,거래량,등락률,RSI,기관합계,기타법인,개인,외국인합계,전체,종가
2020-01-02,30909,31010,30508,241047,-0.6523855890944498,,-10823008500.0,189780000.0,7473876500.0,3159352000.0,0.0,30609
2020-01-03,30810,31111,30308,314848,0.0,,-3745774500.0,701282500.0,-562679000.0,3607171000.0,0.0,30609
2020-01-06,30206,31109,30106,393715,1.310072200986638,,12290065500.0,-10036500.0,-23702968500.0,11422939500.0,0.0,31010
2020-01-07,31110,32113,31009,840186,3.5601418897129955,,29109361500.0,663325000.0,-57918773000.0,28146086500.0,0.0,32114
2020-01-08,31813,32516,31412,851619,-0.3113906707355048,,20303467000.0,1767882000.0,-28693052000.0,6621703000.0,0.0,32014
2020-01-09,32816,33216,32615,878319,2.820640969575811,,4241414500.0,-800980500.0,-6715364000.0,3274930000.0,0.0,32917
2020-01-10,33118,33419,32716,401906,0.6106267278306042,,-6039951000.0,143876500.0,-7084083500.0,12980158000.0,0.0,33118
2020-01-13,33217,33618,33117,475667,1.2108219095355999,,-13483288000.0,1505010000.0,-6307443000.0,18285721000.0,0.0,33519
2020-01-14,33618,33818,33217,423286,0.0,,-7098059500.0,-551368500.0,-4042195500.0,11691623500.0,0.0,33519
2020-01-15,33518,34220,33418,462119,1.7959963006056265,,2014220500.0,-129276000.0,-14995111000.0,13110166500.0,0.0,34121
2020-01-16,34120,34521,34120,260049,0.882154684798218,,-381797000.0,197710000.0,-1780459000.0,1964546000.0,0.0,34422
2020-01-17,34420,34621,33719,354724,-1.7488815292545465,,-2071395000.0,-93367000.0,7809798000.0,-5645036000.0,0.0,33820
2020-01-20,33919,34119,33518,380510,0.0,,-12921979000.0,-1190787500.0,2033416500.0,12079350000.0,0.0,33820
2020-01-21,33820,33921,32817,389155,-2.0756948551153167,64.06089908297062,-9618436000.0,-729350500.0,3784845000.0,6562941500.0,0.0,33118
2020-01-22,33317,33919,33016,504350,0.6039012017633915,66.12189976632521,1556580500.0,73192500.0,13621126000.0,-15250899000.0,0.0,33318
2020-01-23,33718,33718,33016,323420,-0.30013806350921424,64.14127058251009,-7601326000.0,247919000.0,8565311000.0,-1211904000.0,0.0,33218
2020-01-28,32114,32817,32014,513228,-1.8122704557769882,53.71086547985107,5034500500.0,711208500.0,-11262707000.0,5516998000.0,0.0,32616
2020-01-29,33218,33318,32616,255167,0.61626195732156,56.26796457335363,-3465898500.0,75949000.0,7088936000.0,-3698986500.0,0.0,32817
2020-01-30,32716,33218,32215,418908,-0.9172075448700369,51.66517107615382,5619534500.0,327484500.0,-5554204000.0,-392815000.0,0.0,32516
2020-01-31,32614,32915,31812,346067,-1.8544716447287488,43.91503969064102,7009748500.0,-143217500.0,506293500.0,-7372824500.0,0.0,31913
2020-02-03,31311,32215,31311,423907,0.3164854448030583,45.39262060750694,3957161000.0,60047500.0,-7205400000.0,3188191500.0,0.0,32014
2020-02-04,32414,33216,32214,394773,3.133004310614106,57.396343771048414,-3295287000.0,-25379500.0,-3406757500.0,6727424000.0,0.0,33017
2020-02-05,33417,33517,32414,456954,-0.9116515734318684,53.58925829332399,-8196521000.0,353479000.0,20343768000.0,-12500726000.0,0.0,32716
2020-02-06,33217,33718,32816,552044,1.8400782491747159,59.39084785420703,14159842500.0,314246500.0,-7161299000.0,-7312790000.0,0.0,33318
2020-02-07,33519,34222,33318,522100,0.906416951797827,61.95985765070612,99021000.0,-264172000.0,2644773500.0,-2479622500.0,0.0,33620
2020-02-10,33620,34021,33318,375209,0.8953004164187983,64.37863885238637,7627202000.0,210977500.0,-4338174000.0,-3500005500.0,0.0,33921
2020-02-11,33920,34120,33719,307120,0.5896052592789127,65.92884512330878,4115953500.0,351516000.0,-6044139000.0,1576669500.0,0.0,34121
2020-02-12,34021,34523,33720,407917,1.1781600773717065,68.8620952954536,9777314000.0,256244000.0,-10663543500.0,629985500.0,0.0,34523
2020-02-13,35025,36430,34824,1877980,4.069750601048576,76.48263677801246,-7125975000.0,596271000.0,-79093121500.0,85622825500.0,0.0,35928
2020-02-14,36329,37032,35928,948085,0.5594522378089513,77.33714355365309,929161500.0,-763474000.0,5710144000.0,-5875831500.0,0.0,36129
2020-02-17,36129,36530,35928,329408,0.276785961416037,77.76991307853683,890069000.0,847337000.0,-592906000.0,-1144500000.0,0.0,36229
2020-02-18,36229,36831,35928,587253,0.8308261337602473,79.0657507255371,-21032412500.0,1027800500.0,-8521963000.0,28526575000.0,0.0,36530
2020-02-19,36931,38236,36831,1362998,4.396386531617848,84.31826527337388,4569296500.0,947420500.0,-47450707000.0,41933990000.0,0.0,38136
2020-02-20,38235,38435,37733,547405,0.2622194252150199,84.57774115905309,9405258000.0,-916470000.0,-5673346500.0,-2815441500.0,0.0,38236
2020-02-21,37834,38435,37633,558497,-0.525682602782718,81.65320577048678,-15298226500.0,-1408767500.0,-6728551500.0,23435545500.0,0.0,38035
2020-02-24,37030,37331,36529,792733,-3.165505455501512,66.76156866875536,4765017000.0,-909570500.0,-1517165500.0,-2338281000.0,0.0,36831
2020-02-25,36529,37331,36128,596763,1.088756753821509,68.80233757060856,1569949500.0,558674000.0,-8706760500.0,6578137000.0,0.0,37232
2020-02-26,36830,37230,36429,516378,-0.8084443489471422,65.54902100586993,-1863862500.0,-760054500.0,-2676920000.0,5300837000.0,0.0,36931
2020-02-27,36929,37230,35425,785062,-2.989358533481357,55.23306391135286,-11283502000.0,-473749000.0,-1095054000.0,12852305000.0,0.0,35827
2020-02-28,35025,35426,34222,1022917,-3.639713065565077,46.02037030541971,3820267000.0,373229000.0,-21908301000.0,17714805000.0,0.0,34523
2020-03-02,35025,35426,34021,793495,1.7437650262144075,50.153910531311936,-1426946000.0,1362160500.0,8900849500.0,-8836064000.0,0.0,35125
2020-03-03,36229,36329,35125,629017,0.0,50.15391053131195,-7820772000.0,-95221500.0,20133206500.0,-12217213000.0,0.0,35125
2020-03-04,34923,36327,34923,709188,2.5708185053380785,56.01356084114705,-4521214500.0,420243000.0,-8195950000.0,12296921500.0,0.0,36028
2020-03-05,36628,36729,35425,821744,0.0,56.01356084114705,-12875995500.0,182988000.0,47952196500.0,-35259189000.0,0.0,36028
2020-03-06,35424,35825,34923,568424,-2.2288220273120904,49.95690007034037,-13447617000.0,-755992000.0,14129452000.0,74157000.0,0.0,35225
2020-03-09,34322,34422,33318,805638,-4.556422995031937,40.524857734039784,-3147563000.0,1374227000.0,20361300500.0,-18587964500.0,0.0,33620
2020-03-10,33017,35025,32917,950875,3.2837596668649613,47.822347813614705,33928021000.0,-119976000.0,-34914865000.0,1106820000.0,0.0,34724
2020-03-11,34523,35025,33519,550227,-2.3125215988941368,43.62914488863892,-4982817000.0,343470000.0,9993876500.0,-5354529500.0,0.0,33921
